"Notes"	"Year"	"Year Code"	"Month"	"Month Code"	"Injury Intent"	"Injury Intent Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Age Adjusted Rate	Age Adjusted Rate Lower 95% Confidence Interval	Age Adjusted Rate Upper 95% Confidence Interval	% of Total Deaths
	"2005"	"2005"	"Dec., 2005"	"2005/12"	"Suicide"	"2"	2546	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.43%
	"2006"	"2006"	"Jan., 2006"	"2006/01"	"Suicide"	"2"	2730	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.46%
	"2006"	"2006"	"Feb., 2006"	"2006/02"	"Suicide"	"2"	2424	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.41%
	"2006"	"2006"	"Mar., 2006"	"2006/03"	"Suicide"	"2"	2763	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.47%
	"2006"	"2006"	"Apr., 2006"	"2006/04"	"Suicide"	"2"	2844	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.48%
	"2006"	"2006"	"May, 2006"	"2006/05"	"Suicide"	"2"	2952	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.50%
	"2006"	"2006"	"Jun., 2006"	"2006/06"	"Suicide"	"2"	2875	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.49%
	"2006"	"2006"	"Jul., 2006"	"2006/07"	"Suicide"	"2"	2984	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.50%
	"2006"	"2006"	"Aug., 2006"	"2006/08"	"Suicide"	"2"	2810	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.48%
	"2006"	"2006"	"Sep., 2006"	"2006/09"	"Suicide"	"2"	2724	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.46%
	"2006"	"2006"	"Oct., 2006"	"2006/10"	"Suicide"	"2"	2866	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.48%
	"2006"	"2006"	"Nov., 2006"	"2006/11"	"Suicide"	"2"	2697	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.46%
	"2006"	"2006"	"Dec., 2006"	"2006/12"	"Suicide"	"2"	2631	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.44%
	"2007"	"2007"	"Jan., 2007"	"2007/01"	"Suicide"	"2"	2841	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.48%
	"2007"	"2007"	"Feb., 2007"	"2007/02"	"Suicide"	"2"	2473	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.42%
	"2007"	"2007"	"Mar., 2007"	"2007/03"	"Suicide"	"2"	2954	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.50%
	"2007"	"2007"	"Apr., 2007"	"2007/04"	"Suicide"	"2"	2792	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.47%
	"2007"	"2007"	"May, 2007"	"2007/05"	"Suicide"	"2"	3089	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.52%
	"2007"	"2007"	"Jun., 2007"	"2007/06"	"Suicide"	"2"	2915	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.49%
	"2007"	"2007"	"Jul., 2007"	"2007/07"	"Suicide"	"2"	3088	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.52%
	"2007"	"2007"	"Aug., 2007"	"2007/08"	"Suicide"	"2"	2998	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.51%
	"2007"	"2007"	"Sep., 2007"	"2007/09"	"Suicide"	"2"	2951	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.50%
	"2007"	"2007"	"Oct., 2007"	"2007/10"	"Suicide"	"2"	2991	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.51%
	"2007"	"2007"	"Nov., 2007"	"2007/11"	"Suicide"	"2"	2794	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.47%
	"2007"	"2007"	"Dec., 2007"	"2007/12"	"Suicide"	"2"	2712	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.46%
	"2008"	"2008"	"Jan., 2008"	"2008/01"	"Suicide"	"2"	3036	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.51%
	"2008"	"2008"	"Feb., 2008"	"2008/02"	"Suicide"	"2"	2785	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.47%
	"2008"	"2008"	"Mar., 2008"	"2008/03"	"Suicide"	"2"	3044	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.51%
	"2008"	"2008"	"Apr., 2008"	"2008/04"	"Suicide"	"2"	3058	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.52%
	"2008"	"2008"	"May, 2008"	"2008/05"	"Suicide"	"2"	3166	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.54%
	"2008"	"2008"	"Jun., 2008"	"2008/06"	"Suicide"	"2"	3096	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.52%
	"2008"	"2008"	"Jul., 2008"	"2008/07"	"Suicide"	"2"	3128	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.53%
	"2008"	"2008"	"Aug., 2008"	"2008/08"	"Suicide"	"2"	3024	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.51%
	"2008"	"2008"	"Sep., 2008"	"2008/09"	"Suicide"	"2"	3115	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.53%
	"2008"	"2008"	"Oct., 2008"	"2008/10"	"Suicide"	"2"	3011	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.51%
	"2008"	"2008"	"Nov., 2008"	"2008/11"	"Suicide"	"2"	2812	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.48%
	"2008"	"2008"	"Dec., 2008"	"2008/12"	"Suicide"	"2"	2760	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.47%
	"2009"	"2009"	"Jan., 2009"	"2009/01"	"Suicide"	"2"	2976	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.50%
	"2009"	"2009"	"Feb., 2009"	"2009/02"	"Suicide"	"2"	2720	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.46%
	"2009"	"2009"	"Mar., 2009"	"2009/03"	"Suicide"	"2"	3044	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.51%
	"2009"	"2009"	"Apr., 2009"	"2009/04"	"Suicide"	"2"	3027	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.51%
	"2009"	"2009"	"May, 2009"	"2009/05"	"Suicide"	"2"	3266	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.55%
	"2009"	"2009"	"Jun., 2009"	"2009/06"	"Suicide"	"2"	3254	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.55%
	"2009"	"2009"	"Jul., 2009"	"2009/07"	"Suicide"	"2"	3246	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.55%
	"2009"	"2009"	"Aug., 2009"	"2009/08"	"Suicide"	"2"	3305	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.56%
	"2009"	"2009"	"Sep., 2009"	"2009/09"	"Suicide"	"2"	3265	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.55%
	"2009"	"2009"	"Oct., 2009"	"2009/10"	"Suicide"	"2"	3126	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.53%
	"2009"	"2009"	"Nov., 2009"	"2009/11"	"Suicide"	"2"	2833	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.48%
	"2009"	"2009"	"Dec., 2009"	"2009/12"	"Suicide"	"2"	2847	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.48%
	"2010"	"2010"	"Jan., 2010"	"2010/01"	"Suicide"	"2"	3066	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.52%
	"2010"	"2010"	"Feb., 2010"	"2010/02"	"Suicide"	"2"	2785	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.47%
	"2010"	"2010"	"Mar., 2010"	"2010/03"	"Suicide"	"2"	3251	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.55%
	"2010"	"2010"	"Apr., 2010"	"2010/04"	"Suicide"	"2"	3238	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.55%
	"2010"	"2010"	"May, 2010"	"2010/05"	"Suicide"	"2"	3419	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.58%
	"2010"	"2010"	"Jun., 2010"	"2010/06"	"Suicide"	"2"	3286	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.56%
	"2010"	"2010"	"Jul., 2010"	"2010/07"	"Suicide"	"2"	3450	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.58%
	"2010"	"2010"	"Aug., 2010"	"2010/08"	"Suicide"	"2"	3447	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.58%
	"2010"	"2010"	"Sep., 2010"	"2010/09"	"Suicide"	"2"	3153	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.53%
	"2010"	"2010"	"Oct., 2010"	"2010/10"	"Suicide"	"2"	3233	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.55%
	"2010"	"2010"	"Nov., 2010"	"2010/11"	"Suicide"	"2"	2992	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.51%
	"2010"	"2010"	"Dec., 2010"	"2010/12"	"Suicide"	"2"	3044	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.51%
	"2011"	"2011"	"Jan., 2011"	"2011/01"	"Suicide"	"2"	3155	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.53%
	"2011"	"2011"	"Feb., 2011"	"2011/02"	"Suicide"	"2"	2778	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.47%
	"2011"	"2011"	"Mar., 2011"	"2011/03"	"Suicide"	"2"	3392	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.57%
	"2011"	"2011"	"Apr., 2011"	"2011/04"	"Suicide"	"2"	3446	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.58%
	"2011"	"2011"	"May, 2011"	"2011/05"	"Suicide"	"2"	3466	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.59%
	"2011"	"2011"	"Jun., 2011"	"2011/06"	"Suicide"	"2"	3355	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.57%
	"2011"	"2011"	"Jul., 2011"	"2011/07"	"Suicide"	"2"	3573	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.60%
	"2011"	"2011"	"Aug., 2011"	"2011/08"	"Suicide"	"2"	3498	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.59%
	"2011"	"2011"	"Sep., 2011"	"2011/09"	"Suicide"	"2"	3332	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.56%
	"2011"	"2011"	"Oct., 2011"	"2011/10"	"Suicide"	"2"	3306	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.56%
	"2011"	"2011"	"Nov., 2011"	"2011/11"	"Suicide"	"2"	3136	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.53%
	"2011"	"2011"	"Dec., 2011"	"2011/12"	"Suicide"	"2"	3081	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.52%
	"2012"	"2012"	"Jan., 2012"	"2012/01"	"Suicide"	"2"	3308	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.56%
	"2012"	"2012"	"Feb., 2012"	"2012/02"	"Suicide"	"2"	3094	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.52%
	"2012"	"2012"	"Mar., 2012"	"2012/03"	"Suicide"	"2"	3397	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.57%
	"2012"	"2012"	"Apr., 2012"	"2012/04"	"Suicide"	"2"	3424	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.58%
	"2012"	"2012"	"May, 2012"	"2012/05"	"Suicide"	"2"	3704	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.63%
	"2012"	"2012"	"Jun., 2012"	"2012/06"	"Suicide"	"2"	3468	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.59%
	"2012"	"2012"	"Jul., 2012"	"2012/07"	"Suicide"	"2"	3636	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.61%
	"2012"	"2012"	"Aug., 2012"	"2012/08"	"Suicide"	"2"	3544	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.60%
	"2012"	"2012"	"Sep., 2012"	"2012/09"	"Suicide"	"2"	3387	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.57%
	"2012"	"2012"	"Oct., 2012"	"2012/10"	"Suicide"	"2"	3330	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.56%
