"Notes"	"Year"	"Year Code"	"Gender"	"Gender Code"	"Age Group"	"Age Group Code"	"Injury Intent"	"Injury Intent Code"	"Injury Mechanism & All Other Leading Causes"	"Injury Mechanism & All Other Leading Causes Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	% of Total Deaths
	"1999"	"1999"	"Female"	"F"	"15-19 years"	"15-19"	"Suicide"	"2"	"Other specified, not elsewhere classified Injury"	"GRINJ-019"	2	9761569	0.02 (Unreliable)	0.00	0.07	0.00%
"Total"	"1999"	"1999"	"Female"	"F"	"15-19 years"	"15-19"	"Suicide"	"2"			268	9761569	2.75	2.42	3.07	0.04%
"Total"	"1999"	"1999"	"Female"	"F"	"15-19 years"	"15-19"					268	9761569	2.75	2.42	3.07	0.04%
	"1999"	"1999"	"Female"	"F"	"20-24 years"	"20-24"	"Suicide"	"2"	"Drowning"	"GRINJ-002"	5	9098615	0.05 (Unreliable)	0.02	0.13	0.00%
	"1999"	"1999"	"Female"	"F"	"20-24 years"	"20-24"	"Suicide"	"2"	"Fall"	"GRINJ-003"	13	9098615	0.14 (Unreliable)	0.08	0.24	0.00%
	"1999"	"1999"	"Female"	"F"	"20-24 years"	"20-24"	"Suicide"	"2"	"Fire/Flame"	"GRINJ-004"	2	9098615	0.02 (Unreliable)	0.00	0.08	0.00%
	"1999"	"1999"	"Female"	"F"	"20-24 years"	"20-24"	"Suicide"	"2"	"Firearm"	"GRINJ-006"	124	9098615	1.36	1.12	1.60	0.02%
	"1999"	"1999"	"Female"	"F"	"20-24 years"	"20-24"	"Suicide"	"2"	"Other land transport"	"GRINJ-011"	6	9098615	0.07 (Unreliable)	0.02	0.14	0.00%
	"1999"	"1999"	"Female"	"F"	"20-24 years"	"20-24"	"Suicide"	"2"	"Poisoning"	"GRINJ-015"	72	9098615	0.79	0.62	1.00	0.01%
	"1999"	"1999"	"Female"	"F"	"20-24 years"	"20-24"	"Suicide"	"2"	"Suffocation"	"GRINJ-017"	76	9098615	0.84	0.66	1.05	0.01%
	"1999"	"1999"	"Female"	"F"	"20-24 years"	"20-24"	"Suicide"	"2"	"Other specified, classifiable Injury"	"GRINJ-018"	4	9098615	0.04 (Unreliable)	0.01	0.11	0.00%
	"1999"	"1999"	"Female"	"F"	"20-24 years"	"20-24"	"Suicide"	"2"	"Other specified, not elsewhere classified Injury"	"GRINJ-019"	4	9098615	0.04 (Unreliable)	0.01	0.11	0.00%
	"1999"	"1999"	"Female"	"F"	"20-24 years"	"20-24"	"Suicide"	"2"	"Unspecified Injury"	"GRINJ-020"	1	9098615	0.01 (Unreliable)	0.00	0.06	0.00%
"Total"	"1999"	"1999"	"Female"	"F"	"20-24 years"	"20-24"	"Suicide"	"2"			307	9098615	3.37	3.00	3.75	0.05%
"Total"	"1999"	"1999"	"Female"	"F"	"20-24 years"	"20-24"					307	9098615	3.37	3.00	3.75	0.05%
	"1999"	"1999"	"Female"	"F"	"25-34 years"	"25-34"	"Suicide"	"2"	"Cut/Pierce"	"GRINJ-001"	9	19945090	0.05 (Unreliable)	0.02	0.09	0.00%
	"1999"	"1999"	"Female"	"F"	"25-34 years"	"25-34"	"Suicide"	"2"	"Drowning"	"GRINJ-002"	8	19945090	0.04 (Unreliable)	0.02	0.08	0.00%
	"1999"	"1999"	"Female"	"F"	"25-34 years"	"25-34"	"Suicide"	"2"	"Fall"	"GRINJ-003"	23	19945090	0.12	0.07	0.17	0.00%
	"1999"	"1999"	"Female"	"F"	"25-34 years"	"25-34"	"Suicide"	"2"	"Fire/Flame"	"GRINJ-004"	9	19945090	0.05 (Unreliable)	0.02	0.09	0.00%
	"1999"	"1999"	"Female"	"F"	"25-34 years"	"25-34"	"Suicide"	"2"	"Firearm"	"GRINJ-006"	351	19945090	1.76	1.58	1.94	0.05%
	"1999"	"1999"	"Female"	"F"	"25-34 years"	"25-34"	"Suicide"	"2"	"Other land transport"	"GRINJ-011"	4	19945090	0.02 (Unreliable)	0.01	0.05	0.00%
	"1999"	"1999"	"Female"	"F"	"25-34 years"	"25-34"	"Suicide"	"2"	"Poisoning"	"GRINJ-015"	305	19945090	1.53	1.36	1.70	0.05%
	"1999"	"1999"	"Female"	"F"	"25-34 years"	"25-34"	"Suicide"	"2"	"Suffocation"	"GRINJ-017"	184	19945090	0.92	0.79	1.06	0.03%
	"1999"	"1999"	"Female"	"F"	"25-34 years"	"25-34"	"Suicide"	"2"	"Other specified, classifiable Injury"	"GRINJ-018"	10	19945090	0.05 (Unreliable)	0.02	0.09	0.00%
	"1999"	"1999"	"Female"	"F"	"25-34 years"	"25-34"	"Suicide"	"2"	"Other specified, not elsewhere classified Injury"	"GRINJ-019"	7	19945090	0.04 (Unreliable)	0.01	0.07	0.00%
	"1999"	"1999"	"Female"	"F"	"25-34 years"	"25-34"	"Suicide"	"2"	"Unspecified Injury"	"GRINJ-020"	2	19945090	0.01 (Unreliable)	0.00	0.04	0.00%
"Total"	"1999"	"1999"	"Female"	"F"	"25-34 years"	"25-34"	"Suicide"	"2"			912	19945090	4.57	4.28	4.87	0.14%
"Total"	"1999"	"1999"	"Female"	"F"	"25-34 years"	"25-34"					912	19945090	4.57	4.28	4.87	0.14%
	"1999"	"1999"	"Female"	"F"	"35-44 years"	"35-44"	"Suicide"	"2"	"Cut/Pierce"	"GRINJ-001"	18	22669604	0.08 (Unreliable)	0.05	0.13	0.00%
	"1999"	"1999"	"Female"	"F"	"35-44 years"	"35-44"	"Suicide"	"2"	"Drowning"	"GRINJ-002"	30	22669604	0.13	0.09	0.19	0.00%
	"1999"	"1999"	"Female"	"F"	"35-44 years"	"35-44"	"Suicide"	"2"	"Fall"	"GRINJ-003"	46	22669604	0.20	0.15	0.27	0.01%
	"1999"	"1999"	"Female"	"F"	"35-44 years"	"35-44"	"Suicide"	"2"	"Fire/Flame"	"GRINJ-004"	18	22669604	0.08 (Unreliable)	0.05	0.13	0.00%
	"1999"	"1999"	"Female"	"F"	"35-44 years"	"35-44"	"Suicide"	"2"	"Firearm"	"GRINJ-006"	511	22669604	2.25	2.06	2.45	0.08%
	"1999"	"1999"	"Female"	"F"	"35-44 years"	"35-44"	"Suicide"	"2"	"Other land transport"	"GRINJ-011"	5	22669604	0.02 (Unreliable)	0.01	0.05	0.00%
	"1999"	"1999"	"Female"	"F"	"35-44 years"	"35-44"	"Suicide"	"2"	"Poisoning"	"GRINJ-015"	586	22669604	2.58	2.38	2.79	0.09%
	"1999"	"1999"	"Female"	"F"	"35-44 years"	"35-44"	"Suicide"	"2"	"Suffocation"	"GRINJ-017"	188	22669604	0.83	0.71	0.95	0.03%
	"1999"	"1999"	"Female"	"F"	"35-44 years"	"35-44"	"Suicide"	"2"	"Other specified, classifiable Injury"	"GRINJ-018"	24	22669604	0.11	0.07	0.16	0.00%
	"1999"	"1999"	"Female"	"F"	"35-44 years"	"35-44"	"Suicide"	"2"	"Other specified, not elsewhere classified Injury"	"GRINJ-019"	13	22669604	0.06 (Unreliable)	0.03	0.10	0.00%
	"1999"	"1999"	"Female"	"F"	"35-44 years"	"35-44"	"Suicide"	"2"	"Unspecified Injury"	"GRINJ-020"	8	22669604	0.04 (Unreliable)	0.02	0.07	0.00%
"Total"	"1999"	"1999"	"Female"	"F"	"35-44 years"	"35-44"	"Suicide"	"2"			1447	22669604	6.38	6.05	6.71	0.22%
"Total"	"1999"	"1999"	"Female"	"F"	"35-44 years"	"35-44"					1447	22669604	6.38	6.05	6.71	0.22%
	"1999"	"1999"	"Female"	"F"	"45-54 years"	"45-54"	"Suicide"	"2"	"Cut/Pierce"	"GRINJ-001"	19	18632305	0.10 (Unreliable)	0.06	0.16	0.00%
	"1999"	"1999"	"Female"	"F"	"45-54 years"	"45-54"	"Suicide"	"2"	"Drowning"	"GRINJ-002"	19	18632305	0.10 (Unreliable)	0.06	0.16	0.00%
	"1999"	"1999"	"Female"	"F"	"45-54 years"	"45-54"	"Suicide"	"2"	"Fall"	"GRINJ-003"	31	18632305	0.17	0.11	0.24	0.00%
	"1999"	"1999"	"Female"	"F"	"45-54 years"	"45-54"	"Suicide"	"2"	"Fire/Flame"	"GRINJ-004"	12	18632305	0.06 (Unreliable)	0.03	0.11	0.00%
	"1999"	"1999"	"Female"	"F"	"45-54 years"	"45-54"	"Suicide"	"2"	"Firearm"	"GRINJ-006"	426	18632305	2.29	2.07	2.50	0.07%
	"1999"	"1999"	"Female"	"F"	"45-54 years"	"45-54"	"Suicide"	"2"	"Other land transport"	"GRINJ-011"	6	18632305	0.03 (Unreliable)	0.01	0.07	0.00%
	"1999"	"1999"	"Female"	"F"	"45-54 years"	"45-54"	"Suicide"	"2"	"Poisoning"	"GRINJ-015"	553	18632305	2.97	2.72	3.22	0.09%
	"1999"	"1999"	"Female"	"F"	"45-54 years"	"45-54"	"Suicide"	"2"	"Suffocation"	"GRINJ-017"	133	18632305	0.71	0.59	0.84	0.02%
	"1999"	"1999"	"Female"	"F"	"45-54 years"	"45-54"	"Suicide"	"2"	"Other specified, classifiable Injury"	"GRINJ-018"	13	18632305	0.07 (Unreliable)	0.04	0.12	0.00%
	"1999"	"1999"	"Female"	"F"	"45-54 years"	"45-54"	"Suicide"	"2"	"Other specified, not elsewhere classified Injury"	"GRINJ-019"	8	18632305	0.04 (Unreliable)	0.02	0.08	0.00%
	"1999"	"1999"	"Female"	"F"	"45-54 years"	"45-54"	"Suicide"	"2"	"Unspecified Injury"	"GRINJ-020"	7	18632305	0.04 (Unreliable)	0.02	0.08	0.00%
"Total"	"1999"	"1999"	"Female"	"F"	"45-54 years"	"45-54"	"Suicide"	"2"			1227	18632305	6.59	6.22	6.95	0.19%
"Total"	"1999"	"1999"	"Female"	"F"	"45-54 years"	"45-54"					1227	18632305	6.59	6.22	6.95	0.19%
	"1999"	"1999"	"Female"	"F"	"55-64 years"	"55-64"	"Suicide"	"2"	"Cut/Pierce"	"GRINJ-001"	16	12378763	0.13 (Unreliable)	0.07	0.21	0.00%
	"1999"	"1999"	"Female"	"F"	"55-64 years"	"55-64"	"Suicide"	"2"	"Drowning"	"GRINJ-002"	9	12378763	0.07 (Unreliable)	0.03	0.14	0.00%
	"1999"	"1999"	"Female"	"F"	"55-64 years"	"55-64"	"Suicide"	"2"	"Fall"	"GRINJ-003"	22	12378763	0.18	0.11	0.27	0.00%
	"1999"	"1999"	"Female"	"F"	"55-64 years"	"55-64"	"Suicide"	"2"	"Fire/Flame"	"GRINJ-004"	5	12378763	0.04 (Unreliable)	0.01	0.09	0.00%
	"1999"	"1999"	"Female"	"F"	"55-64 years"	"55-64"	"Suicide"	"2"	"Firearm"	"GRINJ-006"	266	12378763	2.15	1.89	2.41	0.04%
	"1999"	"1999"	"Female"	"F"	"55-64 years"	"55-64"	"Suicide"	"2"	"Other land transport"	"GRINJ-011"	1	12378763	0.01 (Unreliable)	0.00	0.05	0.00%
	"1999"	"1999"	"Female"	"F"	"55-64 years"	"55-64"	"Suicide"	"2"	"Poisoning"	"GRINJ-015"	248	12378763	2.00	1.75	2.25	0.04%
	"1999"	"1999"	"Female"	"F"	"55-64 years"	"55-64"	"Suicide"	"2"	"Suffocation"	"GRINJ-017"	62	12378763	0.50	0.38	0.64	0.01%
	"1999"	"1999"	"Female"	"F"	"55-64 years"	"55-64"	"Suicide"	"2"	"Other specified, classifiable Injury"	"GRINJ-018"	4	12378763	0.03 (Unreliable)	0.01	0.08	0.00%
	"1999"	"1999"	"Female"	"F"	"55-64 years"	"55-64"	"Suicide"	"2"	"Other specified, not elsewhere classified Injury"	"GRINJ-019"	6	12378763	0.05 (Unreliable)	0.02	0.11	0.00%
	"1999"	"1999"	"Female"	"F"	"55-64 years"	"55-64"	"Suicide"	"2"	"Unspecified Injury"	"GRINJ-020"	2	12378763	0.02 (Unreliable)	0.00	0.06	0.00%
"Total"	"1999"	"1999"	"Female"	"F"	"55-64 years"	"55-64"	"Suicide"	"2"			641	12378763	5.18	4.78	5.58	0.10%
"Total"	"1999"	"1999"	"Female"	"F"	"55-64 years"	"55-64"					641	12378763	5.18	4.78	5.58	0.10%
	"1999"	"1999"	"Female"	"F"	"65-74 years"	"65-74"	"Suicide"	"2"	"Cut/Pierce"	"GRINJ-001"	8	10125424	0.08 (Unreliable)	0.03	0.16	0.00%
	"1999"	"1999"	"Female"	"F"	"65-74 years"	"65-74"	"Suicide"	"2"	"Drowning"	"GRINJ-002"	17	10125424	0.17 (Unreliable)	0.10	0.27	0.00%
	"1999"	"1999"	"Female"	"F"	"65-74 years"	"65-74"	"Suicide"	"2"	"Fall"	"GRINJ-003"	15	10125424	0.15 (Unreliable)	0.08	0.24	0.00%
	"1999"	"1999"	"Female"	"F"	"65-74 years"	"65-74"	"Suicide"	"2"	"Fire/Flame"	"GRINJ-004"	4	10125424	0.04 (Unreliable)	0.01	0.10	0.00%
	"1999"	"1999"	"Female"	"F"	"65-74 years"	"65-74"	"Suicide"	"2"	"Firearm"	"GRINJ-006"	176	10125424	1.74	1.48	2.00	0.03%
	"1999"	"1999"	"Female"	"F"	"65-74 years"	"65-74"	"Suicide"	"2"	"Other land transport"	"GRINJ-011"	2	10125424	0.02 (Unreliable)	0.00	0.07	0.00%
	"1999"	"1999"	"Female"	"F"	"65-74 years"	"65-74"	"Suicide"	"2"	"Poisoning"	"GRINJ-015"	113	10125424	1.12	0.91	1.32	0.02%
	"1999"	"1999"	"Female"	"F"	"65-74 years"	"65-74"	"Suicide"	"2"	"Suffocation"	"GRINJ-017"	69	10125424	0.68	0.53	0.86	0.01%
	"1999"	"1999"	"Female"	"F"	"65-74 years"	"65-74"	"Suicide"	"2"	"Other specified, classifiable Injury"	"GRINJ-018"	7	10125424	0.07 (Unreliable)	0.03	0.14	0.00%
	"1999"	"1999"	"Female"	"F"	"65-74 years"	"65-74"	"Suicide"	"2"	"Other specified, not elsewhere classified Injury"	"GRINJ-019"	8	10125424	0.08 (Unreliable)	0.03	0.16	0.00%
	"1999"	"1999"	"Female"	"F"	"65-74 years"	"65-74"	"Suicide"	"2"	"Unspecified Injury"	"GRINJ-020"	1	10125424	0.01 (Unreliable)	0.00	0.06	0.00%
"Total"	"1999"	"1999"	"Female"	"F"	"65-74 years"	"65-74"	"Suicide"	"2"			420	10125424	4.15	3.75	4.54	0.06%
"Total"	"1999"	"1999"	"Female"	"F"	"65-74 years"	"65-74"					420	10125424	4.15	3.75	4.54	0.06%
	"1999"	"1999"	"Female"	"F"	"75-84 years"	"75-84"	"Suicide"	"2"	"Cut/Pierce"	"GRINJ-001"	2	7411198	0.03 (Unreliable)	0.00	0.10	0.00%
	"1999"	"1999"	"Female"	"F"	"75-84 years"	"75-84"	"Suicide"	"2"	"Drowning"	"GRINJ-002"	11	7411198	0.15 (Unreliable)	0.07	0.27	0.00%
	"1999"	"1999"	"Female"	"F"	"75-84 years"	"75-84"	"Suicide"	"2"	"Fall"	"GRINJ-003"	19	7411198	0.26 (Unreliable)	0.15	0.40	0.00%
	"1999"	"1999"	"Female"	"F"	"75-84 years"	"75-84"	"Suicide"	"2"	"Fire/Flame"	"GRINJ-004"	2	7411198	0.03 (Unreliable)	0.00	0.10	0.00%
	"1999"	"1999"	"Female"	"F"	"75-84 years"	"75-84"	"Suicide"	"2"	"Firearm"	"GRINJ-006"	107	7411198	1.44	1.17	1.72	0.02%
	"1999"	"1999"	"Female"	"F"	"75-84 years"	"75-84"	"Suicide"	"2"	"Other land transport"	"GRINJ-011"	2	7411198	0.03 (Unreliable)	0.00	0.10	0.00%
	"1999"	"1999"	"Female"	"F"	"75-84 years"	"75-84"	"Suicide"	"2"	"Poisoning"	"GRINJ-015"	117	7411198	1.58	1.29	1.86	0.02%
	"1999"	"1999"	"Female"	"F"	"75-84 years"	"75-84"	"Suicide"	"2"	"Suffocation"	"GRINJ-017"	77	7411198	1.04	0.82	1.30	0.01%
	"1999"	"1999"	"Female"	"F"	"75-84 years"	"75-84"	"Suicide"	"2"	"Other specified, classifiable Injury"	"GRINJ-018"	4	7411198	0.05 (Unreliable)	0.01	0.14	0.00%
	"1999"	"1999"	"Female"	"F"	"75-84 years"	"75-84"	"Suicide"	"2"	"Other specified, not elsewhere classified Injury"	"GRINJ-019"	6	7411198	0.08 (Unreliable)	0.03	0.18	0.00%
	"1999"	"1999"	"Female"	"F"	"75-84 years"	"75-84"	"Suicide"	"2"	"Unspecified Injury"	"GRINJ-020"	2	7411198	0.03 (Unreliable)	0.00	0.10	0.00%
"Total"	"1999"	"1999"	"Female"	"F"	"75-84 years"	"75-84"	"Suicide"	"2"			349	7411198	4.71	4.22	5.20	0.05%
"Total"	"1999"	"1999"	"Female"	"F"	"75-84 years"	"75-84"					349	7411198	4.71	4.22	5.20	0.05%
	"1999"	"1999"	"Female"	"F"	"85+ years"	"85+"	"Suicide"	"2"	"Cut/Pierce"	"GRINJ-001"	3	2960708	0.10 (Unreliable)	0.02	0.30	0.00%
	"1999"	"1999"	"Female"	"F"	"85+ years"	"85+"	"Suicide"	"2"	"Drowning"	"GRINJ-002"	9	2960708	0.30 (Unreliable)	0.14	0.58	0.00%
	"1999"	"1999"	"Female"	"F"	"85+ years"	"85+"	"Suicide"	"2"	"Fall"	"GRINJ-003"	8	2960708	0.27 (Unreliable)	0.12	0.53	0.00%
	"1999"	"1999"	"Female"	"F"	"85+ years"	"85+"	"Suicide"	"2"	"Fire/Flame"	"GRINJ-004"	4	2960708	0.14 (Unreliable)	0.04	0.35	0.00%
	"1999"	"1999"	"Female"	"F"	"85+ years"	"85+"	"Suicide"	"2"	"Firearm"	"GRINJ-006"	28	2960708	0.95	0.63	1.37	0.00%
	"1999"	"1999"	"Female"	"F"	"85+ years"	"85+"	"Suicide"	"2"	"Poisoning"	"GRINJ-015"	22	2960708	0.74	0.47	1.13	0.00%
	"1999"	"1999"	"Female"	"F"	"85+ years"	"85+"	"Suicide"	"2"	"Suffocation"	"GRINJ-017"	39	2960708	1.32	0.94	1.80	0.01%
	"1999"	"1999"	"Female"	"F"	"85+ years"	"85+"	"Suicide"	"2"	"Other specified, not elsewhere classified Injury"	"GRINJ-019"	4	2960708	0.14 (Unreliable)	0.04	0.35	0.00%
	"1999"	"1999"	"Female"	"F"	"85+ years"	"85+"	"Suicide"	"2"	"Unspecified Injury"	"GRINJ-020"	3	2960708	0.10 (Unreliable)	0.02	0.30	0.00%
"Total"	"1999"	"1999"	"Female"	"F"	"85+ years"	"85+"	"Suicide"	"2"			120	2960708	4.05	3.33	4.78	0.02%
"Total"	"1999"	"1999"	"Female"	"F"	"85+ years"	"85+"					120	2960708	4.05	3.33	4.78	0.02%
"Total"	"1999"	"1999"	"Female"	"F"							5741	142237295	4.04	3.93	4.14	0.88%
	"1999"	"1999"	"Male"	"M"	"5-9 years"	"5-9"	"Suicide"	"2"	"Suffocation"	"GRINJ-017"	2	10553842	0.02 (Unreliable)	0.00	0.07	0.00%
"Total"	"1999"	"1999"	"Male"	"M"	"5-9 years"	"5-9"	"Suicide"	"2"			2	10553842	0.02 (Unreliable)	0.00	0.07	0.00%
"Total"	"1999"	"1999"	"Male"	"M"	"5-9 years"	"5-9"					2	10553842	0.02 (Unreliable)	0.00	0.07	0.00%
	"1999"	"1999"	"Male"	"M"	"10-14 years"	"10-14"	"Suicide"	"2"	"Fall"	"GRINJ-003"	2	10357700	0.02 (Unreliable)	0.00	0.07	0.00%
	"1999"	"1999"	"Male"	"M"	"10-14 years"	"10-14"	"Suicide"	"2"	"Firearm"	"GRINJ-006"	80	10357700	0.77	0.61	0.96	0.01%
	"1999"	"1999"	"Male"	"M"	"10-14 years"	"10-14"	"Suicide"	"2"	"Other land transport"	"GRINJ-011"	1	10357700	0.01 (Unreliable)	0.00	0.05	0.00%
	"1999"	"1999"	"Male"	"M"	"10-14 years"	"10-14"	"Suicide"	"2"	"Poisoning"	"GRINJ-015"	3	10357700	0.03 (Unreliable)	0.01	0.08	0.00%
	"1999"	"1999"	"Male"	"M"	"10-14 years"	"10-14"	"Suicide"	"2"	"Suffocation"	"GRINJ-017"	103	10357700	0.99	0.80	1.19	0.02%
	"1999"	"1999"	"Male"	"M"	"10-14 years"	"10-14"	"Suicide"	"2"	"Other specified, classifiable Injury"	"GRINJ-018"	2	10357700	0.02 (Unreliable)	0.00	0.07	0.00%
	"1999"	"1999"	"Male"	"M"	"10-14 years"	"10-14"	"Suicide"	"2"	"Other specified, not elsewhere classified Injury"	"GRINJ-019"	1	10357700	0.01 (Unreliable)	0.00	0.05	0.00%
"Total"	"1999"	"1999"	"Male"	"M"	"10-14 years"	"10-14"	"Suicide"	"2"			192	10357700	1.85	1.59	2.12	0.03%
"Total"	"1999"	"1999"	"Male"	"M"	"10-14 years"	"10-14"					192	10357700	1.85	1.59	2.12	0.03%
	"1999"	"1999"	"Male"	"M"	"15-19 years"	"15-19"	"Suicide"	"2"	"Cut/Pierce"	"GRINJ-001"	1	10323033	0.01 (Unreliable)	0.00	0.05	0.00%
	"1999"	"1999"	"Male"	"M"	"15-19 years"	"15-19"	"Suicide"	"2"	"Drowning"	"GRINJ-002"	10	10323033	0.10 (Unreliable)	0.05	0.18	0.00%
	"1999"	"1999"	"Male"	"M"	"15-19 years"	"15-19"	"Suicide"	"2"	"Fall"	"GRINJ-003"	26	10323033	0.25	0.16	0.37	0.00%
	"1999"	"1999"	"Male"	"M"	"15-19 years"	"15-19"	"Suicide"	"2"	"Fire/Flame"	"GRINJ-004"	6	10323033	0.06 (Unreliable)	0.02	0.13	0.00%
	"1999"	"1999"	"Male"	"M"	"15-19 years"	"15-19"	"Suicide"	"2"	"Firearm"	"GRINJ-006"	867	10323033	8.40	7.84	8.96	0.13%
	"1999"	"1999"	"Male"	"M"	"15-19 years"	"15-19"	"Suicide"	"2"	"Other land transport"	"GRINJ-011"	3	10323033	0.03 (Unreliable)	0.01	0.08	0.00%
	"1999"	"1999"	"Male"	"M"	"15-19 years"	"15-19"	"Suicide"	"2"	"Poisoning"	"GRINJ-015"	56	10323033	0.54	0.41	0.70	0.01%
	"1999"	"1999"	"Male"	"M"	"15-19 years"	"15-19"	"Suicide"	"2"	"Suffocation"	"GRINJ-017"	347	10323033	3.36	3.01	3.72	0.05%
	"1999"	"1999"	"Male"	"M"	"15-19 years"	"15-19"	"Suicide"	"2"	"Other specified, classifiable Injury"	"GRINJ-018"	18	10323033	0.17 (Unreliable)	0.10	0.28	0.00%
	"1999"	"1999"	"Male"	"M"	"15-19 years"	"15-19"	"Suicide"	"2"	"Other specified, not elsewhere classified Injury"	"GRINJ-019"	5	10323033	0.05 (Unreliable)	0.02	0.11	0.00%
	"1999"	"1999"	"Male"	"M"	"15-19 years"	"15-19"	"Suicide"	"2"	"Unspecified Injury"	"GRINJ-020"	8	10323033	0.08 (Unreliable)	0.03	0.15	0.00%
"Total"	"1999"	"1999"	"Male"	"M"	"15-19 years"	"15-19"	"Suicide"	"2"			1347	10323033	13.05	12.35	13.75	0.21%
"Total"	"1999"	"1999"	"Male"	"M"	"15-19 years"	"15-19"					1347	10323033	13.05	12.35	13.75	0.21%
	"1999"	"1999"	"Male"	"M"	"20-24 years"	"20-24"	"Suicide"	"2"	"Cut/Pierce"	"GRINJ-001"	14	9492814	0.15 (Unreliable)	0.08	0.25	0.00%
	"1999"	"1999"	"Male"	"M"	"20-24 years"	"20-24"	"Suicide"	"2"	"Drowning"	"GRINJ-002"	14	9492814	0.15 (Unreliable)	0.08	0.25	0.00%
	"1999"	"1999"	"Male"	"M"	"20-24 years"	"20-24"	"Suicide"	"2"	"Fall"	"GRINJ-003"	61	9492814	0.64	0.49	0.83	0.01%
	"1999"	"1999"	"Male"	"M"	"20-24 years"	"20-24"	"Suicide"	"2"	"Fire/Flame"	"GRINJ-004"	9	9492814	0.09 (Unreliable)	0.04	0.18	0.00%
	"1999"	"1999"	"Male"	"M"	"20-24 years"	"20-24"	"Suicide"	"2"	"Firearm"	"GRINJ-006"	1216	9492814	12.81	12.09	13.53	0.19%
	"1999"	"1999"	"Male"	"M"	"20-24 years"	"20-24"	"Suicide"	"2"	"Other land transport"	"GRINJ-011"	7	9492814	0.07 (Unreliable)	0.03	0.15	0.00%
	"1999"	"1999"	"Male"	"M"	"20-24 years"	"20-24"	"Suicide"	"2"	"Poisoning"	"GRINJ-015"	153	9492814	1.61	1.36	1.87	0.02%
	"1999"	"1999"	"Male"	"M"	"20-24 years"	"20-24"	"Suicide"	"2"	"Suffocation"	"GRINJ-017"	456	9492814	4.80	4.36	5.24	0.07%
	"1999"	"1999"	"Male"	"M"	"20-24 years"	"20-24"	"Suicide"	"2"	"Other specified, classifiable Injury"	"GRINJ-018"	26	9492814	0.27	0.18	0.40	0.00%
