"Notes"	"Age Group"	"Age Group Code"	"Year"	"Year Code"	"Injury Intent"	"Injury Intent Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	% of Total Deaths
	"15-19 years"	"15-19"	"1999"	"1999"	"Suicide"	"2"	1615	20084602	8.04	7.65	8.43	0.25%
	"15-19 years"	"15-19"	"2000"	"2000"	"Suicide"	"2"	1621	20219890	8.02	7.63	8.41	0.25%
	"15-19 years"	"15-19"	"2001"	"2001"	"Suicide"	"2"	1611	20456284	7.88	7.49	8.26	0.25%
	"15-19 years"	"15-19"	"2002"	"2002"	"Suicide"	"2"	1513	20610370	7.34	6.97	7.71	0.23%
	"15-19 years"	"15-19"	"2003"	"2003"	"Suicide"	"2"	1487	20797166	7.15	6.79	7.51	0.23%
	"15-19 years"	"15-19"	"2004"	"2004"	"Suicide"	"2"	1700	21102552	8.06	7.67	8.44	0.26%
	"15-19 years"	"15-19"	"2005"	"2005"	"Suicide"	"2"	1613	21486214	7.51	7.14	7.87	0.25%
	"15-19 years"	"15-19"	"2006"	"2006"	"Suicide"	"2"	1555	21807709	7.13	6.78	7.48	0.24%
	"15-19 years"	"15-19"	"2007"	"2007"	"Suicide"	"2"	1481	22067816	6.71	6.37	7.05	0.23%
	"15-19 years"	"15-19"	"2008"	"2008"	"Suicide"	"2"	1604	22210880	7.22	6.87	7.58	0.25%
	"15-19 years"	"15-19"	"2009"	"2009"	"Suicide"	"2"	1669	22192810	7.52	7.16	7.88	0.26%
	"15-19 years"	"15-19"	"2010"	"2010"	"Suicide"	"2"	1659	22040343	7.53	7.16	7.89	0.26%
	"15-19 years"	"15-19"	"2011"	"2011"	"Suicide"	"2"	1802	21644043	8.33	7.94	8.71	0.28%
	"15-19 years"	"15-19"	"2012"	"2012"	"Suicide"	"2"	1782	21360702	8.34	7.96	8.73	0.27%
	"15-19 years"	"15-19"	"2013"	"2013"	"Suicide"	"2"	1748	21158964	8.26	7.87	8.65	0.27%
	"15-19 years"	"15-19"	"2014"	"2014"	"Suicide"	"2"	1837	21067647	8.72	8.32	9.12	0.28%
	"15-19 years"	"15-19"	"2015"	"2015"	"Suicide"	"2"	2061	21108903	9.76	9.34	10.19	0.32%
	"15-19 years"	"15-19"	"2016"	"2016"	"Suicide"	"2"	2117	21129999	10.02	9.59	10.45	0.33%
	"20-24 years"	"20-24"	"1999"	"1999"	"Suicide"	"2"	2286	18591429	12.30	11.79	12.80	0.35%
	"20-24 years"	"20-24"	"2000"	"2000"	"Suicide"	"2"	2373	18964001	12.51	12.01	13.02	0.37%
	"20-24 years"	"20-24"	"2001"	"2001"	"Suicide"	"2"	2360	19757286	11.94	11.46	12.43	0.36%
	"20-24 years"	"20-24"	"2002"	"2002"	"Suicide"	"2"	2497	20243765	12.33	11.85	12.82	0.38%
	"20-24 years"	"20-24"	"2003"	"2003"	"Suicide"	"2"	2501	20591688	12.15	11.67	12.62	0.39%
	"20-24 years"	"20-24"	"2004"	"2004"	"Suicide"	"2"	2616	20845560	12.55	12.07	13.03	0.40%
	"20-24 years"	"20-24"	"2005"	"2005"	"Suicide"	"2"	2599	20959955	12.40	11.92	12.88	0.40%
	"20-24 years"	"20-24"	"2006"	"2006"	"Suicide"	"2"	2634	21036135	12.52	12.04	13.00	0.41%
	"20-24 years"	"20-24"	"2007"	"2007"	"Suicide"	"2"	2659	21077999	12.62	12.14	13.09	0.41%
	"20-24 years"	"20-24"	"2008"	"2008"	"Suicide"	"2"	2694	21180612	12.72	12.24	13.20	0.41%
	"20-24 years"	"20-24"	"2009"	"2009"	"Suicide"	"2"	2702	21384122	12.64	12.16	13.11	0.42%
	"20-24 years"	"20-24"	"2010"	"2010"	"Suicide"	"2"	2941	21585999	13.62	13.13	14.12	0.45%
	"20-24 years"	"20-24"	"2011"	"2011"	"Suicide"	"2"	3020	22153832	13.63	13.15	14.12	0.46%
	"20-24 years"	"20-24"	"2012"	"2012"	"Suicide"	"2"	3090	22583203	13.68	13.20	14.17	0.48%
	"20-24 years"	"20-24"	"2013"	"2013"	"Suicide"	"2"	3130	22795438	13.73	13.25	14.21	0.48%
	"20-24 years"	"20-24"	"2014"	"2014"	"Suicide"	"2"	3253	22912174	14.20	13.71	14.69	0.50%
	"20-24 years"	"20-24"	"2015"	"2015"	"Suicide"	"2"	3430	22739313	15.08	14.58	15.59	0.53%
	"20-24 years"	"20-24"	"2016"	"2016"	"Suicide"	"2"	3606	22381028	16.11	15.59	16.64	0.56%
	"25-34 years"	"25-34"	"1999"	"1999"	"Suicide"	"2"	5106	40178406	12.71	12.36	13.06	0.79%
	"25-34 years"	"25-34"	"2000"	"2000"	"Suicide"	"2"	4792	39891724	12.01	11.67	12.35	0.74%
	"25-34 years"	"25-34"	"2001"	"2001"	"Suicide"	"2"	5070	39471522	12.84	12.49	13.20	0.78%
	"25-34 years"	"25-34"	"2002"	"2002"	"Suicide"	"2"	5046	39349646	12.82	12.47	13.18	0.78%
	"25-34 years"	"25-34"	"2003"	"2003"	"Suicide"	"2"	5065	39243795	12.91	12.55	13.26	0.78%
	"25-34 years"	"25-34"	"2004"	"2004"	"Suicide"	"2"	5074	39266556	12.92	12.57	13.28	0.78%
	"25-34 years"	"25-34"	"2005"	"2005"	"Suicide"	"2"	4990	39258647	12.71	12.36	13.06	0.77%
	"25-34 years"	"25-34"	"2006"	"2006"	"Suicide"	"2"	4985	39395179	12.65	12.30	13.01	0.77%
	"25-34 years"	"25-34"	"2007"	"2007"	"Suicide"	"2"	5278	39713463	13.29	12.93	13.65	0.81%
	"25-34 years"	"25-34"	"2008"	"2008"	"Suicide"	"2"	5300	40207473	13.18	12.83	13.54	0.82%
	"25-34 years"	"25-34"	"2009"	"2009"	"Suicide"	"2"	5320	40723342	13.06	12.71	13.41	0.82%
	"25-34 years"	"25-34"	"2010"	"2010"	"Suicide"	"2"	5735	41063948	13.97	13.60	14.33	0.88%
	"25-34 years"	"25-34"	"2011"	"2011"	"Suicide"	"2"	6100	41790498	14.60	14.23	14.96	0.94%
	"25-34 years"	"25-34"	"2012"	"2012"	"Suicide"	"2"	6216	42309321	14.69	14.33	15.06	0.96%
	"25-34 years"	"25-34"	"2013"	"2013"	"Suicide"	"2"	6348	42844587	14.82	14.45	15.18	0.98%
	"25-34 years"	"25-34"	"2014"	"2014"	"Suicide"	"2"	6574	43516504	15.11	14.74	15.47	1.01%
	"25-34 years"	"25-34"	"2015"	"2015"	"Suicide"	"2"	6947	44137202	15.74	15.37	16.11	1.07%
	"25-34 years"	"25-34"	"2016"	"2016"	"Suicide"	"2"	7366	44677243	16.49	16.11	16.86	1.13%
	"35-44 years"	"35-44"	"1999"	"1999"	"Suicide"	"2"	6466	45076677	14.34	13.99	14.69	1.00%
	"35-44 years"	"35-44"	"2000"	"2000"	"Suicide"	"2"	6562	45148527	14.53	14.18	14.89	1.01%
	"35-44 years"	"35-44"	"2001"	"2001"	"Suicide"	"2"	6635	45051752	14.73	14.37	15.08	1.02%
	"35-44 years"	"35-44"	"2002"	"2002"	"Suicide"	"2"	6851	44640649	15.35	14.98	15.71	1.05%
	"35-44 years"	"35-44"	"2003"	"2003"	"Suicide"	"2"	6602	44154206	14.95	14.59	15.31	1.02%
	"35-44 years"	"35-44"	"2004"	"2004"	"Suicide"	"2"	6638	43800275	15.16	14.79	15.52	1.02%
	"35-44 years"	"35-44"	"2005"	"2005"	"Suicide"	"2"	6550	43505538	15.06	14.69	15.42	1.01%
	"35-44 years"	"35-44"	"2006"	"2006"	"Suicide"	"2"	6591	43243801	15.24	14.87	15.61	1.01%
	"35-44 years"	"35-44"	"2007"	"2007"	"Suicide"	"2"	6722	42796230	15.71	15.33	16.08	1.03%
	"35-44 years"	"35-44"	"2008"	"2008"	"Suicide"	"2"	6703	42192486	15.89	15.51	16.27	1.03%
	"35-44 years"	"35-44"	"2009"	"2009"	"Suicide"	"2"	6677	41487811	16.09	15.71	16.48	1.03%
	"35-44 years"	"35-44"	"2010"	"2010"	"Suicide"	"2"	6571	41070606	16.00	15.61	16.39	1.01%
	"35-44 years"	"35-44"	"2011"	"2011"	"Suicide"	"2"	6599	40627954	16.24	15.85	16.63	1.02%
	"35-44 years"	"35-44"	"2012"	"2012"	"Suicide"	"2"	6758	40516420	16.68	16.28	17.08	1.04%
	"35-44 years"	"35-44"	"2013"	"2013"	"Suicide"	"2"	6551	40452690	16.19	15.80	16.59	1.01%
	"35-44 years"	"35-44"	"2014"	"2014"	"Suicide"	"2"	6715	40513133	16.57	16.18	16.97	1.03%
	"35-44 years"	"35-44"	"2015"	"2015"	"Suicide"	"2"	6936	40589783	17.09	16.69	17.49	1.07%
	"35-44 years"	"35-44"	"2016"	"2016"	"Suicide"	"2"	7030	40470156	17.37	16.96	17.78	1.08%
	"45-54 years"	"45-54"	"1999"	"1999"	"Suicide"	"2"	5081	36577819	13.89	13.51	14.27	0.78%
	"45-54 years"	"45-54"	"2000"	"2000"	"Suicide"	"2"	5437	37677952	14.43	14.05	14.81	0.84%
	"45-54 years"	"45-54"	"2001"	"2001"	"Suicide"	"2"	5942	39386268	15.09	14.70	15.47	0.91%
	"45-54 years"	"45-54"	"2002"	"2002"	"Suicide"	"2"	6308	39992194	15.77	15.38	16.16	0.97%
	"45-54 years"	"45-54"	"2003"	"2003"	"Suicide"	"2"	6481	40819954	15.88	15.49	16.26	1.00%
	"45-54 years"	"45-54"	"2004"	"2004"	"Suicide"	"2"	6906	41629930	16.59	16.20	16.98	1.06%
	"45-54 years"	"45-54"	"2005"	"2005"	"Suicide"	"2"	6991	42495904	16.45	16.07	16.84	1.08%
	"45-54 years"	"45-54"	"2006"	"2006"	"Suicide"	"2"	7426	43286159	17.16	16.77	17.55	1.14%
	"45-54 years"	"45-54"	"2007"	"2007"	"Suicide"	"2"	7778	43939939	17.70	17.31	18.09	1.20%
	"45-54 years"	"45-54"	"2008"	"2008"	"Suicide"	"2"	8287	44460447	18.64	18.24	19.04	1.28%
	"45-54 years"	"45-54"	"2009"	"2009"	"Suicide"	"2"	8598	44867088	19.16	18.76	19.57	1.32%
	"45-54 years"	"45-54"	"2010"	"2010"	"Suicide"	"2"	8799	45006716	19.55	19.14	19.96	1.35%
	"45-54 years"	"45-54"	"2011"	"2011"	"Suicide"	"2"	8858	44718203	19.81	19.40	20.22	1.36%
	"45-54 years"	"45-54"	"2012"	"2012"	"Suicide"	"2"	8862	44268738	20.02	19.60	20.44	1.36%
	"45-54 years"	"45-54"	"2013"	"2013"	"Suicide"	"2"	8621	43767532	19.70	19.28	20.11	1.33%
	"45-54 years"	"45-54"	"2014"	"2014"	"Suicide"	"2"	8774	43458851	20.19	19.77	20.61	1.35%
	"45-54 years"	"45-54"	"2015"	"2015"	"Suicide"	"2"	8751	43188161	20.26	19.84	20.69	1.35%
	"45-54 years"	"45-54"	"2016"	"2016"	"Suicide"	"2"	8437	42786679	19.72	19.30	20.14	1.30%
	"55-64 years"	"55-64"	"1999"	"1999"	"Suicide"	"2"	2896	23778026	12.18	11.74	12.62	0.45%
	"55-64 years"	"55-64"	"2000"	"2000"	"Suicide"	"2"	2945	24274684	12.13	11.69	12.57	0.45%
	"55-64 years"	"55-64"	"2001"	"2001"	"Suicide"	"2"	3317	25105295	13.21	12.76	13.66	0.51%
	"55-64 years"	"55-64"	"2002"	"2002"	"Suicide"	"2"	3618	26703332	13.55	13.11	13.99	0.56%
	"55-64 years"	"55-64"	"2003"	"2003"	"Suicide"	"2"	3843	28008945	13.72	13.29	14.15	0.59%
	"55-64 years"	"55-64"	"2004"	"2004"	"Suicide"	"2"	4011	29305304	13.69	13.26	14.11	0.62%
	"55-64 years"	"55-64"	"2005"	"2005"	"Suicide"	"2"	4210	30641497	13.74	13.32	14.15	0.65%
	"55-64 years"	"55-64"	"2006"	"2006"	"Suicide"	"2"	4583	31930113	14.35	13.94	14.77	0.71%
	"55-64 years"	"55-64"	"2007"	"2007"	"Suicide"	"2"	5069	33128434	15.30	14.88	15.72	0.78%
	"55-64 years"	"55-64"	"2008"	"2008"	"Suicide"	"2"	5465	34157063	16.00	15.58	16.42	0.84%
	"55-64 years"	"55-64"	"2009"	"2009"	"Suicide"	"2"	5808	35405600	16.40	15.98	16.83	0.89%
	"55-64 years"	"55-64"	"2010"	"2010"	"Suicide"	"2"	6384	36482729	17.50	17.07	17.93	0.98%
	"55-64 years"	"55-64"	"2011"	"2011"	"Suicide"	"2"	6521	38062140	17.13	16.72	17.55	1.00%
	"55-64 years"	"55-64"	"2012"	"2012"	"Suicide"	"2"	6929	38586202	17.96	17.53	18.38	1.07%
	"55-64 years"	"55-64"	"2013"	"2013"	"Suicide"	"2"	7135	39316431	18.15	17.73	18.57	1.10%
	"55-64 years"	"55-64"	"2014"	"2014"	"Suicide"	"2"	7539	40077581	18.81	18.39	19.24	1.16%
	"55-64 years"	"55-64"	"2015"	"2015"	"Suicide"	"2"	7739	40877819	18.93	18.51	19.35	1.19%
	"55-64 years"	"55-64"	"2016"	"2016"	"Suicide"	"2"	7759	41463144	18.71	18.30	19.13	1.19%
	"65-74 years"	"65-74"	"1999"	"1999"	"Suicide"	"2"	2471	18418909	13.42	12.89	13.94	0.38%
	"65-74 years"	"65-74"	"2000"	"2000"	"Suicide"	"2"	2292	18390986	12.46	11.95	12.97	0.35%
	"65-74 years"	"65-74"	"2001"	"2001"	"Suicide"	"2"	2432	18384179	13.23	12.70	13.75	0.37%
	"65-74 years"	"65-74"	"2002"	"2002"	"Suicide"	"2"	2463	18388535	13.39	12.87	13.92	0.38%
	"65-74 years"	"65-74"	"2003"	"2003"	"Suicide"	"2"	2335	18500915	12.62	12.11	13.13	0.36%
	"65-74 years"	"65-74"	"2004"	"2004"	"Suicide"	"2"	2279	18667533	12.21	11.71	12.71	0.35%
	"65-74 years"	"65-74"	"2005"	"2005"	"Suicide"	"2"	2344	18881697	12.41	11.91	12.92	0.36%
	"65-74 years"	"65-74"	"2006"	"2006"	"Suicide"	"2"	2384	19203027	12.41	11.92	12.91	0.37%
	"65-74 years"	"65-74"	"2007"	"2007"	"Suicide"	"2"	2444	19698727	12.41	11.92	12.90	0.38%
	"65-74 years"	"65-74"	"2008"	"2008"	"Suicide"	"2"	2796	20505679	13.64	13.13	14.14	0.43%
	"65-74 years"	"65-74"	"2009"	"2009"	"Suicide"	"2"	2917	21233099	13.74	13.24	14.24	0.45%
	"65-74 years"	"65-74"	"2010"	"2010"	"Suicide"	"2"	2974	21713429	13.70	13.20	14.19	0.46%
	"65-74 years"	"65-74"	"2011"	"2011"	"Suicide"	"2"	3179	22481738	14.14	13.65	14.63	0.49%
	"65-74 years"	"65-74"	"2012"	"2012"	"Suicide"	"2"	3367	23985392	14.04	13.56	14.51	0.52%
	"65-74 years"	"65-74"	"2013"	"2013"	"Suicide"	"2"	3794	25216766	15.05	14.57	15.52	0.58%
	"65-74 years"	"65-74"	"2014"	"2014"	"Suicide"	"2"	4115	26398290	15.59	15.11	16.06	0.63%
	"65-74 years"	"65-74"	"2015"	"2015"	"Suicide"	"2"	4201	27550517	15.25	14.79	15.71	0.65%
	"65-74 years"	"65-74"	"2016"	"2016"	"Suicide"	"2"	4403	28630330	15.38	14.92	15.83	0.68%
	"75-84 years"	"75-84"	"1999"	"1999"	"Suicide"	"2"	2217	12224914	18.14	17.38	18.89	0.34%
	"75-84 years"	"75-84"	"2000"	"2000"	"Suicide"	"2"	2181	12361180	17.64	16.90	18.38	0.34%
	"75-84 years"	"75-84"	"2001"	"2001"	"Suicide"	"2"	2192	12593618	17.41	16.68	18.13	0.34%
	"75-84 years"	"75-84"	"2002"	"2002"	"Suicide"	"2"	2259	12764864	17.70	16.97	18.43	0.35%
	"75-84 years"	"75-84"	"2003"	"2003"	"Suicide"	"2"	2115	12896438	16.40	15.70	17.10	0.33%
	"75-84 years"	"75-84"	"2004"	"2004"	"Suicide"	"2"	2120	12989903	16.32	15.63	17.02	0.33%
	"75-84 years"	"75-84"	"2005"	"2005"	"Suicide"	"2"	2200	13074802	16.83	16.12	17.53	0.34%
	"75-84 years"	"75-84"	"2006"	"2006"	"Suicide"	"2"	2075	13095151	15.85	15.16	16.53	0.32%
	"75-84 years"	"75-84"	"2007"	"2007"	"Suicide"	"2"	2119	13087439	16.19	15.50	16.88	0.33%
	"75-84 years"	"75-84"	"2008"	"2008"	"Suicide"	"2"	2108	13076102	16.12	15.43	16.81	0.32%
	"75-84 years"	"75-84"	"2009"	"2009"	"Suicide"	"2"	2063	13022775	15.84	15.16	16.53	0.32%
	"75-84 years"	"75-84"	"2010"	"2010"	"Suicide"	"2"	2052	13061122	15.71	15.03	16.39	0.32%
	"75-84 years"	"75-84"	"2011"	"2011"	"Suicide"	"2"	2174	13175230	16.50	15.81	17.19	0.33%
	"75-84 years"	"75-84"	"2012"	"2012"	"Suicide"	"2"	2232	13272634	16.82	16.12	17.51	0.34%
	"75-84 years"	"75-84"	"2013"	"2013"	"Suicide"	"2"	2300	13446519	17.10	16.41	17.80	0.35%
	"75-84 years"	"75-84"	"2014"	"2014"	"Suicide"	"2"	2395	13682690	17.50	16.80	18.20	0.37%
	"75-84 years"	"75-84"	"2015"	"2015"	"Suicide"	"2"	2489	13923174	17.88	17.17	18.58	0.38%
	"75-84 years"	"75-84"	"2016"	"2016"	"Suicide"	"2"	2590	14233534	18.20	17.50	18.90	0.40%
	"85+ years"	"85+"	"1999"	"1999"	"Suicide"	"2"	801	4154018	19.28	17.95	20.62	0.12%
	"85+ years"	"85+"	"2000"	"2000"	"Suicide"	"2"	833	4239587	19.65	18.31	20.98	0.13%
	"85+ years"	"85+"	"2001"	"2001"	"Suicide"	"2"	769	4312494	17.83	16.57	19.09	0.12%
	"85+ years"	"85+"	"2002"	"2002"	"Suicide"	"2"	826	4368808	18.91	17.62	20.20	0.13%
	"85+ years"	"85+"	"2003"	"2003"	"Suicide"	"2"	798	4466176	17.87	16.63	19.11	0.12%
	"85+ years"	"85+"	"2004"	"2004"	"Suicide"	"2"	799	4545883	17.58	16.36	18.80	0.12%
	"85+ years"	"85+"	"2005"	"2005"	"Suicide"	"2"	860	4693299	18.32	17.10	19.55	0.13%
	"85+ years"	"85+"	"2006"	"2006"	"Suicide"	"2"	840	4865929	17.26	16.10	18.43	0.13%
	"85+ years"	"85+"	"2007"	"2007"	"Suicide"	"2"	858	5039545	17.03	15.89	18.16	0.13%
	"85+ years"	"85+"	"2008"	"2008"	"Suicide"	"2"	851	5195840	16.38	15.28	17.48	0.13%
	"85+ years"	"85+"	"2009"	"2009"	"Suicide"	"2"	878	5367301	16.36	15.28	17.44	0.14%
	"85+ years"	"85+"	"2010"	"2010"	"Suicide"	"2"	968	5493433	17.62	16.51	18.73	0.15%
	"85+ years"	"85+"	"2011"	"2011"	"Suicide"	"2"	968	5737173	16.87	15.81	17.94	0.15%
	"85+ years"	"85+"	"2012"	"2012"	"Suicide"	"2"	1049	5887330	17.82	16.74	18.90	0.16%
	"85+ years"	"85+"	"2013"	"2013"	"Suicide"	"2"	1121	6040789	18.56	17.47	19.64	0.17%
	"85+ years"	"85+"	"2014"	"2014"	"Suicide"	"2"	1192	6162231	19.34	18.25	20.44	0.18%
	"85+ years"	"85+"	"2015"	"2015"	"Suicide"	"2"	1222	6287161	19.44	18.35	20.53	0.19%
	"85+ years"	"85+"	"2016"	"2016"	"Suicide"	"2"	1211	6380331	18.98	17.91	20.05	0.19%
