"Notes"	"Year"	"Year Code"	"Gender"	"Gender Code"	"Injury Intent"	"Injury Intent Code"	"Injury Mechanism & All Other Leading Causes"	"Injury Mechanism & All Other Leading Causes Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Age Adjusted Rate	Age Adjusted Rate Lower 95% Confidence Interval	Age Adjusted Rate Upper 95% Confidence Interval	% of Total Deaths
	"2001"	"2001"	"Female"	"F"	"Suicide"	"2"	"Other specified, classifiable Injury"	"GRINJ-018"	54	145077463	0.04	0.03	0.05	0.04	0.03	0.05	0.01%
	"2001"	"2001"	"Female"	"F"	"Suicide"	"2"	"Other specified, not elsewhere classified Injury"	"GRINJ-019"	49	145077463	0.03	0.02	0.04	0.03	0.02	0.04	0.01%
	"2001"	"2001"	"Female"	"F"	"Suicide"	"2"	"Unspecified Injury"	"GRINJ-020"	41	145077463	0.03	0.02	0.04	0.03	0.02	0.04	0.01%
"Total"	"2001"	"2001"	"Female"	"F"	"Suicide"	"2"			5950	145077463	4.10	4.00	4.21	4.06	3.95	4.16	0.92%
"Total"	"2001"	"2001"	"Female"	"F"					5950	145077463	4.10	4.00	4.21	4.06	3.95	4.16	0.92%
	"2001"	"2001"	"Male"	"M"	"Suicide"	"2"	"Cut/Pierce"	"GRINJ-001"	379	139891492	0.27	0.24	0.30	0.28	0.25	0.31	0.06%
	"2001"	"2001"	"Male"	"M"	"Suicide"	"2"	"Drowning"	"GRINJ-002"	211	139891492	0.15	0.13	0.17	0.16	0.13	0.18	0.03%
	"2001"	"2001"	"Male"	"M"	"Suicide"	"2"	"Fall"	"GRINJ-003"	443	139891492	0.32	0.29	0.35	0.32	0.29	0.35	0.07%
	"2001"	"2001"	"Male"	"M"	"Suicide"	"2"	"Fire/Flame"	"GRINJ-004"	101	139891492	0.07	0.06	0.09	0.07	0.06	0.09	0.02%
	"2001"	"2001"	"Male"	"M"	"Suicide"	"2"	"Hot object/Substance"	"GRINJ-005"	1	139891492	0.00 (Unreliable)	0.00	0.00	0.00 (Unreliable)	0.00	0.01	0.00%
	"2001"	"2001"	"Male"	"M"	"Suicide"	"2"	"Firearm"	"GRINJ-006"	14758	139891492	10.55	10.38	10.72	11.04	10.86	11.22	2.27%
	"2001"	"2001"	"Male"	"M"	"Suicide"	"2"	"Other land transport"	"GRINJ-011"	64	139891492	0.05	0.04	0.06	0.05	0.04	0.06	0.01%
	"2001"	"2001"	"Male"	"M"	"Suicide"	"2"	"Poisoning"	"GRINJ-015"	2972	139891492	2.12	2.05	2.20	2.15	2.07	2.23	0.46%
	"2001"	"2001"	"Male"	"M"	"Suicide"	"2"	"Struck by or against"	"GRINJ-016"	2	139891492	0.00 (Unreliable)	0.00	0.01	0.00 (Unreliable)	0.00	0.01	0.00%
	"2001"	"2001"	"Male"	"M"	"Suicide"	"2"	"Suffocation"	"GRINJ-017"	5210	139891492	3.72	3.62	3.83	3.72	3.61	3.82	0.80%
	"2001"	"2001"	"Male"	"M"	"Suicide"	"2"	"Other specified, classifiable Injury"	"GRINJ-018"	229	139891492	0.16	0.14	0.18	0.16	0.14	0.18	0.04%
	"2001"	"2001"	"Male"	"M"	"Suicide"	"2"	"Other specified, not elsewhere classified Injury"	"GRINJ-019"	197	139891492	0.14	0.12	0.16	0.14	0.12	0.17	0.03%
	"2001"	"2001"	"Male"	"M"	"Suicide"	"2"	"Unspecified Injury"	"GRINJ-020"	105	139891492	0.08	0.06	0.09	0.08	0.06	0.09	0.02%
"Total"	"2001"	"2001"	"Male"	"M"	"Suicide"	"2"			24672	139891492	17.64	17.42	17.86	18.17	17.94	18.40	3.80%
"Total"	"2001"	"2001"	"Male"	"M"					24672	139891492	17.64	17.42	17.86	18.17	17.94	18.40	3.80%
"Total"	"2001"	"2001"							30622	284968955	10.75	10.63	10.87	10.72	10.60	10.84	4.71%
	"2002"	"2002"	"Female"	"F"	"Suicide"	"2"	"Cut/Pierce"	"GRINJ-001"	103	146394634	0.07	0.06	0.08	0.07	0.05	0.08	0.02%
	"2002"	"2002"	"Female"	"F"	"Suicide"	"2"	"Drowning"	"GRINJ-002"	143	146394634	0.10	0.08	0.11	0.09	0.08	0.11	0.02%
	"2002"	"2002"	"Female"	"F"	"Suicide"	"2"	"Fall"	"GRINJ-003"	226	146394634	0.15	0.13	0.17	0.15	0.13	0.17	0.03%
	"2002"	"2002"	"Female"	"F"	"Suicide"	"2"	"Fire/Flame"	"GRINJ-004"	39	146394634	0.03	0.02	0.04	0.03	0.02	0.04	0.01%
	"2002"	"2002"	"Female"	"F"	"Suicide"	"2"	"Firearm"	"GRINJ-006"	2063	146394634	1.41	1.35	1.47	1.39	1.33	1.45	0.32%
	"2002"	"2002"	"Female"	"F"	"Suicide"	"2"	"Other land transport"	"GRINJ-011"	34	146394634	0.02	0.02	0.03	0.02	0.02	0.03	0.01%
	"2002"	"2002"	"Female"	"F"	"Suicide"	"2"	"Poisoning"	"GRINJ-015"	2389	146394634	1.63	1.57	1.70	1.62	1.55	1.68	0.37%
	"2002"	"2002"	"Female"	"F"	"Suicide"	"2"	"Struck by or against"	"GRINJ-016"	1	146394634	0.00 (Unreliable)	0.00	0.00	0.00 (Unreliable)	0.00	0.00	0.00%
	"2002"	"2002"	"Female"	"F"	"Suicide"	"2"	"Suffocation"	"GRINJ-017"	1107	146394634	0.76	0.71	0.80	0.75	0.71	0.79	0.17%
	"2002"	"2002"	"Female"	"F"	"Suicide"	"2"	"Other specified, classifiable Injury"	"GRINJ-018"	64	146394634	0.04	0.03	0.06	0.04	0.03	0.06	0.01%
	"2002"	"2002"	"Female"	"F"	"Suicide"	"2"	"Other specified, not elsewhere classified Injury"	"GRINJ-019"	44	146394634	0.03	0.02	0.04	0.03	0.02	0.04	0.01%
	"2002"	"2002"	"Female"	"F"	"Suicide"	"2"	"Unspecified Injury"	"GRINJ-020"	33	146394634	0.02	0.02	0.03	0.02	0.01	0.03	0.01%
"Total"	"2002"	"2002"	"Female"	"F"	"Suicide"	"2"			6246	146394634	4.27	4.16	4.37	4.22	4.11	4.32	0.96%
"Total"	"2002"	"2002"	"Female"	"F"					6246	146394634	4.27	4.16	4.37	4.22	4.11	4.32	0.96%
	"2002"	"2002"	"Male"	"M"	"Suicide"	"2"	"Cut/Pierce"	"GRINJ-001"	463	141230559	0.33	0.30	0.36	0.34	0.31	0.37	0.07%
	"2002"	"2002"	"Male"	"M"	"Suicide"	"2"	"Drowning"	"GRINJ-002"	225	141230559	0.16	0.14	0.18	0.16	0.14	0.18	0.03%
	"2002"	"2002"	"Male"	"M"	"Suicide"	"2"	"Fall"	"GRINJ-003"	514	141230559	0.36	0.33	0.40	0.37	0.34	0.40	0.08%
	"2002"	"2002"	"Male"	"M"	"Suicide"	"2"	"Fire/Flame"	"GRINJ-004"	111	141230559	0.08	0.06	0.09	0.08	0.06	0.09	0.02%
	"2002"	"2002"	"Male"	"M"	"Suicide"	"2"	"Firearm"	"GRINJ-006"	15045	141230559	10.65	10.48	10.82	11.12	10.94	11.30	2.32%
	"2002"	"2002"	"Male"	"M"	"Suicide"	"2"	"Other land transport"	"GRINJ-011"	78	141230559	0.06	0.04	0.07	0.06	0.04	0.07	0.01%
	"2002"	"2002"	"Male"	"M"	"Suicide"	"2"	"Poisoning"	"GRINJ-015"	3097	141230559	2.19	2.12	2.27	2.22	2.14	2.30	0.48%
	"2002"	"2002"	"Male"	"M"	"Suicide"	"2"	"Struck by or against"	"GRINJ-016"	2	141230559	0.00 (Unreliable)	0.00	0.01	0.00 (Unreliable)	0.00	0.01	0.00%
	"2002"	"2002"	"Male"	"M"	"Suicide"	"2"	"Suffocation"	"GRINJ-017"	5355	141230559	3.79	3.69	3.89	3.78	3.68	3.88	0.82%
	"2002"	"2002"	"Male"	"M"	"Suicide"	"2"	"Other specified, classifiable Injury"	"GRINJ-018"	251	141230559	0.18	0.16	0.20	0.18	0.15	0.20	0.04%
	"2002"	"2002"	"Male"	"M"	"Suicide"	"2"	"Other specified, not elsewhere classified Injury"	"GRINJ-019"	156	141230559	0.11	0.09	0.13	0.12	0.10	0.13	0.02%
	"2002"	"2002"	"Male"	"M"	"Suicide"	"2"	"Unspecified Injury"	"GRINJ-020"	112	141230559	0.08	0.06	0.09	0.08	0.07	0.10	0.02%
"Total"	"2002"	"2002"	"Male"	"M"	"Suicide"	"2"			25409	141230559	17.99	17.77	18.21	18.51	18.28	18.74	3.91%
"Total"	"2002"	"2002"	"Male"	"M"					25409	141230559	17.99	17.77	18.21	18.51	18.28	18.74	3.91%
"Total"	"2002"	"2002"							31655	287625193	11.01	10.88	11.13	10.97	10.85	11.09	4.87%
	"2003"	"2003"	"Female"	"F"	"Suicide"	"2"	"Cut/Pierce"	"GRINJ-001"	103	147679036	0.07	0.06	0.08	0.07	0.06	0.08	0.02%
	"2003"	"2003"	"Female"	"F"	"Suicide"	"2"	"Drowning"	"GRINJ-002"	116	147679036	0.08	0.06	0.09	0.08	0.06	0.09	0.02%
	"2003"	"2003"	"Female"	"F"	"Suicide"	"2"	"Fall"	"GRINJ-003"	214	147679036	0.14	0.13	0.16	0.14	0.12	0.16	0.03%
	"2003"	"2003"	"Female"	"F"	"Suicide"	"2"	"Fire/Flame"	"GRINJ-004"	46	147679036	0.03	0.02	0.04	0.03	0.02	0.04	0.01%
	"2003"	"2003"	"Female"	"F"	"Suicide"	"2"	"Firearm"	"GRINJ-006"	2080	147679036	1.41	1.35	1.47	1.38	1.32	1.44	0.32%
	"2003"	"2003"	"Female"	"F"	"Suicide"	"2"	"Other land transport"	"GRINJ-011"	32	147679036	0.02	0.01	0.03	0.02	0.02	0.03	0.00%
	"2003"	"2003"	"Female"	"F"	"Suicide"	"2"	"Poisoning"	"GRINJ-015"	2414	147679036	1.63	1.57	1.70	1.61	1.55	1.68	0.37%
	"2003"	"2003"	"Female"	"F"	"Suicide"	"2"	"Suffocation"	"GRINJ-017"	1139	147679036	0.77	0.73	0.82	0.77	0.72	0.81	0.18%
	"2003"	"2003"	"Female"	"F"	"Suicide"	"2"	"Other specified, classifiable Injury"	"GRINJ-018"	65	147679036	0.04	0.03	0.06	0.04	0.03	0.06	0.01%
	"2003"	"2003"	"Female"	"F"	"Suicide"	"2"	"Other specified, not elsewhere classified Injury"	"GRINJ-019"	33	147679036	0.02	0.02	0.03	0.02	0.02	0.03	0.01%
	"2003"	"2003"	"Female"	"F"	"Suicide"	"2"	"Unspecified Injury"	"GRINJ-020"	39	147679036	0.03	0.02	0.04	0.03	0.02	0.04	0.01%
"Total"	"2003"	"2003"	"Female"	"F"	"Suicide"	"2"			6281	147679036	4.25	4.15	4.36	4.19	4.09	4.30	0.97%
"Total"	"2003"	"2003"	"Female"	"F"					6281	147679036	4.25	4.15	4.36	4.19	4.09	4.30	0.97%
	"2003"	"2003"	"Male"	"M"	"Suicide"	"2"	"Cut/Pierce"	"GRINJ-001"	468	142428897	0.33	0.30	0.36	0.34	0.30	0.37	0.07%
	"2003"	"2003"	"Male"	"M"	"Suicide"	"2"	"Drowning"	"GRINJ-002"	223	142428897	0.16	0.14	0.18	0.16	0.14	0.18	0.03%
	"2003"	"2003"	"Male"	"M"	"Suicide"	"2"	"Fall"	"GRINJ-003"	509	142428897	0.36	0.33	0.39	0.36	0.33	0.40	0.08%
	"2003"	"2003"	"Male"	"M"	"Suicide"	"2"	"Fire/Flame"	"GRINJ-004"	104	142428897	0.07	0.06	0.09	0.07	0.06	0.09	0.02%
	"2003"	"2003"	"Male"	"M"	"Suicide"	"2"	"Firearm"	"GRINJ-006"	14827	142428897	10.41	10.24	10.58	10.79	10.62	10.97	2.28%
	"2003"	"2003"	"Male"	"M"	"Suicide"	"2"	"Other land transport"	"GRINJ-011"	72	142428897	0.05	0.04	0.06	0.05	0.04	0.06	0.01%
	"2003"	"2003"	"Male"	"M"	"Suicide"	"2"	"Poisoning"	"GRINJ-015"	3048	142428897	2.14	2.06	2.22	2.16	2.08	2.24	0.47%
	"2003"	"2003"	"Male"	"M"	"Suicide"	"2"	"Struck by or against"	"GRINJ-016"	3	142428897	0.00 (Unreliable)	0.00	0.01	0.00 (Unreliable)	0.00	0.01	0.00%
	"2003"	"2003"	"Male"	"M"	"Suicide"	"2"	"Suffocation"	"GRINJ-017"	5496	142428897	3.86	3.76	3.96	3.86	3.76	3.96	0.85%
	"2003"	"2003"	"Male"	"M"	"Suicide"	"2"	"Other specified, classifiable Injury"	"GRINJ-018"	224	142428897	0.16	0.14	0.18	0.15	0.13	0.17	0.03%
	"2003"	"2003"	"Male"	"M"	"Suicide"	"2"	"Other specified, not elsewhere classified Injury"	"GRINJ-019"	118	142428897	0.08	0.07	0.10	0.09	0.07	0.10	0.02%
	"2003"	"2003"	"Male"	"M"	"Suicide"	"2"	"Unspecified Injury"	"GRINJ-020"	111	142428897	0.08	0.06	0.09	0.08	0.06	0.09	0.02%
"Total"	"2003"	"2003"	"Male"	"M"	"Suicide"	"2"			25203	142428897	17.70	17.48	17.91	18.12	17.89	18.34	3.88%
"Total"	"2003"	"2003"	"Male"	"M"					25203	142428897	17.70	17.48	17.91	18.12	17.89	18.34	3.88%
"Total"	"2003"	"2003"							31484	290107933	10.85	10.73	10.97	10.79	10.67	10.91	4.84%
	"2004"	"2004"	"Female"	"F"	"Suicide"	"2"	"Cut/Pierce"	"GRINJ-001"	107	148977286	0.07	0.06	0.09	0.07	0.06	0.08	0.02%
	"2004"	"2004"	"Female"	"F"	"Suicide"	"2"	"Drowning"	"GRINJ-002"	147	148977286	0.10	0.08	0.11	0.10	0.08	0.11	0.02%
	"2004"	"2004"	"Female"	"F"	"Suicide"	"2"	"Fall"	"GRINJ-003"	188	148977286	0.13	0.11	0.14	0.12	0.10	0.14	0.03%
	"2004"	"2004"	"Female"	"F"	"Suicide"	"2"	"Fire/Flame"	"GRINJ-004"	50	148977286	0.03	0.02	0.04	0.03	0.02	0.04	0.01%
	"2004"	"2004"	"Female"	"F"	"Suicide"	"2"	"Firearm"	"GRINJ-006"	2227	148977286	1.49	1.43	1.56	1.47	1.41	1.53	0.34%
	"2004"	"2004"	"Female"	"F"	"Suicide"	"2"	"Other land transport"	"GRINJ-011"	32	148977286	0.02	0.01	0.03	0.02	0.01	0.03	0.00%
	"2004"	"2004"	"Female"	"F"	"Suicide"	"2"	"Poisoning"	"GRINJ-015"	2600	148977286	1.75	1.68	1.81	1.72	1.65	1.78	0.40%
	"2004"	"2004"	"Female"	"F"	"Suicide"	"2"	"Suffocation"	"GRINJ-017"	1356	148977286	0.91	0.86	0.96	0.91	0.86	0.95	0.21%
	"2004"	"2004"	"Female"	"F"	"Suicide"	"2"	"Other specified, classifiable Injury"	"GRINJ-018"	103	148977286	0.07	0.06	0.08	0.07	0.06	0.08	0.02%
	"2004"	"2004"	"Female"	"F"	"Suicide"	"2"	"Other specified, not elsewhere classified Injury"	"GRINJ-019"	47	148977286	0.03	0.02	0.04	0.03	0.02	0.04	0.01%
	"2004"	"2004"	"Female"	"F"	"Suicide"	"2"	"Unspecified Injury"	"GRINJ-020"	16	148977286	0.01 (Unreliable)	0.01	0.02	0.01 (Unreliable)	0.01	0.02	0.00%
"Total"	"2004"	"2004"	"Female"	"F"	"Suicide"	"2"			6873	148977286	4.61	4.50	4.72	4.54	4.43	4.65	1.06%
"Total"	"2004"	"2004"	"Female"	"F"					6873	148977286	4.61	4.50	4.72	4.54	4.43	4.65	1.06%
	"2004"	"2004"	"Male"	"M"	"Suicide"	"2"	"Cut/Pierce"	"GRINJ-001"	483	143828012	0.34	0.31	0.37	0.34	0.31	0.37	0.07%
	"2004"	"2004"	"Male"	"M"	"Suicide"	"2"	"Drowning"	"GRINJ-002"	218	143828012	0.15	0.13	0.17	0.16	0.14	0.18	0.03%
	"2004"	"2004"	"Male"	"M"	"Suicide"	"2"	"Fall"	"GRINJ-003"	488	143828012	0.34	0.31	0.37	0.34	0.31	0.37	0.08%
	"2004"	"2004"	"Male"	"M"	"Suicide"	"2"	"Fire/Flame"	"GRINJ-004"	125	143828012	0.09	0.07	0.10	0.09	0.07	0.10	0.02%
	"2004"	"2004"	"Male"	"M"	"Suicide"	"2"	"Hot object/Substance"	"GRINJ-005"	2	143828012	0.00 (Unreliable)	0.00	0.01	0.00 (Unreliable)	0.00	0.00	0.00%
	"2004"	"2004"	"Male"	"M"	"Suicide"	"2"	"Firearm"	"GRINJ-006"	14523	143828012	10.10	9.93	10.26	10.42	10.25	10.59	2.23%
	"2004"	"2004"	"Male"	"M"	"Suicide"	"2"	"Other land transport"	"GRINJ-011"	76	143828012	0.05	0.04	0.07	0.05	0.04	0.07	0.01%
	"2004"	"2004"	"Male"	"M"	"Suicide"	"2"	"Poisoning"	"GRINJ-015"	3200	143828012	2.22	2.15	2.30	2.23	2.15	2.31	0.49%
