"State","Sex","Race/Ethnicity","Age Group","First Year","Last Year","Rank","Cause of Death","Deaths"
"United States","Both Sexes","All Races,","25-34 yrs","2016","2016","5","Heart Disease","3445"
"United States","Both Sexes","All Races,","25-34 yrs","2016","2016","6","Liver Disease","925"
"United States","Both Sexes","All Races,","25-34 yrs","2016","2016","7","Diabetes Mellitus","792"
"United States","Both Sexes","All Races,","25-34 yrs","2016","2016","8","Cerebrovascular","575"
"United States","Both Sexes","All Races,","25-34 yrs","2016","2016","9","HIV","546"
"United States","Both Sexes","All Races,","25-34 yrs","2016","2016","10","Complicated Pregnancy","472"
"United States","Both Sexes","All Races,","25-34 yrs","2016","2016","11","Influenza & Pneumonia","452"
"United States","Both Sexes","All Races,","25-34 yrs","2016","2016","12","Congenital Anomalies","436"
"United States","Both Sexes","All Races,","25-34 yrs","2016","2016","13","Septicemia","419"
"United States","Both Sexes","All Races,","25-34 yrs","2016","2016","14","Chronic Low. Respiratory Disease","353"
"United States","Both Sexes","All Races,","25-34 yrs","2016","2016","15","Nephritis","265"
"United States","Both Sexes","All Races,","35-44 yrs","2016","2016","1","Unintentional Injury","20975"
"United States","Both Sexes","All Races,","35-44 yrs","2016","2016","2","Malignant Neoplasms","10903"
"United States","Both Sexes","All Races,","35-44 yrs","2016","2016","3","Heart Disease","10477"
"United States","Both Sexes","All Races,","35-44 yrs","2016","2016","4","Suicide","7030"
"United States","Both Sexes","All Races,","35-44 yrs","2016","2016","5","Homicide","3369"
"United States","Both Sexes","All Races,","35-44 yrs","2016","2016","6","Liver Disease","2851"
"United States","Both Sexes","All Races,","35-44 yrs","2016","2016","7","Diabetes Mellitus","2049"
"United States","Both Sexes","All Races,","35-44 yrs","2016","2016","8","Cerebrovascular","1851"
"United States","Both Sexes","All Races,","35-44 yrs","2016","2016","9","HIV","971"
"United States","Both Sexes","All Races,","35-44 yrs","2016","2016","10","Septicemia","897"
"United States","Both Sexes","All Races,","35-44 yrs","2016","2016","11","Influenza & Pneumonia","894"
"United States","Both Sexes","All Races,","35-44 yrs","2016","2016","12","Nephritis","743"
"United States","Both Sexes","All Races,","35-44 yrs","2016","2016","13","Chronic Low. Respiratory Disease","692"
"United States","Both Sexes","All Races,","35-44 yrs","2016","2016","14","Hypertension","459"
"United States","Both Sexes","All Races,","35-44 yrs","2016","2016","15","Congenital Anomalies","421"
"United States","Both Sexes","All Races,","45-54 yrs","2016","2016","1","Malignant Neoplasms","41291"
"United States","Both Sexes","All Races,","45-54 yrs","2016","2016","2","Heart Disease","34027"
"United States","Both Sexes","All Races,","45-54 yrs","2016","2016","3","Unintentional Injury","23377"
"United States","Both Sexes","All Races,","45-54 yrs","2016","2016","4","Suicide","8437"
"United States","Both Sexes","All Races,","45-54 yrs","2016","2016","5","Liver Disease","8364"
"United States","Both Sexes","All Races,","45-54 yrs","2016","2016","6","Diabetes Mellitus","6267"
"United States","Both Sexes","All Races,","45-54 yrs","2016","2016","7","Cerebrovascular","5353"
"United States","Both Sexes","All Races,","45-54 yrs","2016","2016","8","Chronic Low. Respiratory Disease","4307"
"United States","Both Sexes","All Races,","45-54 yrs","2016","2016","9","Septicemia","2472"
"United States","Both Sexes","All Races,","45-54 yrs","2016","2016","10","Homicide","2152"
"United States","Both Sexes","All Races,","45-54 yrs","2016","2016","11","Nephritis","2140"
"United States","Both Sexes","All Races,","45-54 yrs","2016","2016","12","Influenza & Pneumonia","2133"
"United States","Both Sexes","All Races,","45-54 yrs","2016","2016","13","HIV","1831"
"United States","Both Sexes","All Races,","45-54 yrs","2016","2016","14","Hypertension","1606"
"United States","Both Sexes","All Races,","45-54 yrs","2016","2016","15","Viral Hepatitis","1162"
"United States","Both Sexes","All Races,","55-64 yrs","2016","2016","1","Malignant Neoplasms","116364"
"United States","Both Sexes","All Races,","55-64 yrs","2016","2016","2","Heart Disease","78610"
"United States","Both Sexes","All Races,","55-64 yrs","2016","2016","3","Unintentional Injury","21860"
"United States","Both Sexes","All Races,","55-64 yrs","2016","2016","4","Chronic Low. Respiratory Disease","17810"
"United States","Both Sexes","All Races,","55-64 yrs","2016","2016","5","Diabetes Mellitus","14251"
"United States","Both Sexes","All Races,","55-64 yrs","2016","2016","6","Liver Disease","13448"
"United States","Both Sexes","All Races,","55-64 yrs","2016","2016","7","Cerebrovascular","12310"
"United States","Both Sexes","All Races,","55-64 yrs","2016","2016","8","Suicide","7759"
"United States","Both Sexes","All Races,","55-64 yrs","2016","2016","9","Septicemia","5941"
"United States","Both Sexes","All Races,","55-64 yrs","2016","2016","10","Nephritis","5650"
"United States","Both Sexes","All Races,","55-64 yrs","2016","2016","11","Influenza & Pneumonia","5034"
"United States","Both Sexes","All Races,","55-64 yrs","2016","2016","12","Hypertension","3741"
"United States","Both Sexes","All Races,","55-64 yrs","2016","2016","13","Viral Hepatitis","2996"
"United States","Both Sexes","All Races,","55-64 yrs","2016","2016","14","HIV","1803"
"United States","Both Sexes","All Races,","55-64 yrs","2016","2016","15","Benign Neoplasms","1568"
"United States","Both Sexes","All Races,","65+ yrs","2016","2016","1","Heart Disease","507118"
"United States","Both Sexes","All Races,","65+ yrs","2016","2016","2","Malignant Neoplasms","422927"
"United States","Both Sexes","All Races,","65+ yrs","2016","2016","3","Chronic Low. Respiratory Disease","131002"
"United States","Both Sexes","All Races,","65+ yrs","2016","2016","4","Cerebrovascular","121630"
"United States","Both Sexes","All Races,","65+ yrs","2016","2016","5","Alzheimer's Disease","114883"
"United States","Both Sexes","All Races,","65+ yrs","2016","2016","6","Diabetes Mellitus","56452"
"United States","Both Sexes","All Races,","65+ yrs","2016","2016","7","Unintentional Injury","53141"
"United States","Both Sexes","All Races,","65+ yrs","2016","2016","8","Influenza & Pneumonia","42479"
"United States","Both Sexes","All Races,","65+ yrs","2016","2016","9","Nephritis","41095"
"United States","Both Sexes","All Races,","65+ yrs","2016","2016","10","Septicemia","30405"
"United States","Both Sexes","All Races,","65+ yrs","2016","2016","11","Parkinson's Disease","28929"
"United States","Both Sexes","All Races,","65+ yrs","2016","2016","12","Hypertension","27283"
"United States","Both Sexes","All Races,","65+ yrs","2016","2016","13","Pneumonitis","17281"
"United States","Both Sexes","All Races,","65+ yrs","2016","2016","14","Liver Disease","14903"
"United States","Both Sexes","All Races,","65+ yrs","2016","2016","15","Benign Neoplasms","13064"
"United States","Both Sexes","All Races,","All Ages","2016","2016","1","Heart Disease","635260"
"United States","Both Sexes","All Races,","All Ages","2016","2016","2","Malignant Neoplasms","598038"
"United States","Both Sexes","All Races,","All Ages","2016","2016","3","Unintentional Injury","161374"
"United States","Both Sexes","All Races,","All Ages","2016","2016","4","Chronic Low. Respiratory Disease","154596"
"United States","Both Sexes","All Races,","All Ages","2016","2016","5","Cerebrovascular","142142"
"United States","Both Sexes","All Races,","All Ages","2016","2016","6","Alzheimer's Disease","116103"
"United States","Both Sexes","All Races,","All Ages","2016","2016","7","Diabetes Mellitus","80058"
"United States","Both Sexes","All Races,","All Ages","2016","2016","8","Influenza & Pneumonia","51537"
"United States","Both Sexes","All Races,","All Ages","2016","2016","9","Nephritis","50046"
"United States","Both Sexes","All Races,","All Ages","2016","2016","10","Suicide","44965"
"United States","Both Sexes","All Races,","All Ages","2016","2016","11","Septicemia","40613"
"United States","Both Sexes","All Races,","All Ages","2016","2016","12","Liver Disease","40545"
"United States","Both Sexes","All Races,","All Ages","2016","2016","13","Hypertension","33246"
"United States","Both Sexes","All Races,","All Ages","2016","2016","14","Parkinson's Disease","29697"
"United States","Both Sexes","All Races,","All Ages","2016","2016","15","Pneumonitis","19715"
