"State","Sex","Race/Ethnicity","Age Group","First Year","Last Year","Rank","Cause of Death","Deaths"
"United States","Both Sexes","All Races,","1-4 yrs","2011","2011","13","Nephritis","13"
"United States","Both Sexes","All Races,","1-4 yrs","2011","2011","14","Meningitis","11"
"United States","Both Sexes","All Races,","5-9 yrs","2011","2011","1","Unintentional Injury","761"
"United States","Both Sexes","All Races,","5-9 yrs","2011","2011","2","Malignant Neoplasms","441"
"United States","Both Sexes","All Races,","5-9 yrs","2011","2011","3","Congenital Anomalies","182"
"United States","Both Sexes","All Races,","5-9 yrs","2011","2011","4","Homicide","129"
"United States","Both Sexes","All Races,","5-9 yrs","2011","2011","5","Heart Disease","92"
"United States","Both Sexes","All Races,","5-9 yrs","2011","2011","6","Chronic Low. Respiratory Disease","64"
"United States","Both Sexes","All Races,","5-9 yrs","2011","2011","7","Influenza & Pneumonia","63"
"United States","Both Sexes","All Races,","5-9 yrs","2011","2011","8","Benign Neoplasms","40"
"United States","Both Sexes","All Races,","5-9 yrs","2011","2011","8","Cerebrovascular","40"
"United States","Both Sexes","All Races,","5-9 yrs","2011","2011","9","Septicemia","38"
"United States","Both Sexes","All Races,","5-9 yrs","2011","2011","10","Anemias","28"
"United States","Both Sexes","All Races,","5-9 yrs","2011","2011","11","Perinatal Period","19"
"United States","Both Sexes","All Races,","5-9 yrs","2011","2011","12","Nephritis","9"
"United States","Both Sexes","All Races,","5-9 yrs","2011","2011","13","Meningitis","7"
"United States","Both Sexes","All Races,","5-9 yrs","2011","2011","14","Diseases Of Appendix","6"
"United States","Both Sexes","All Races,","10-14 yrs","2011","2011","1","Unintentional Injury","874"
"United States","Both Sexes","All Races,","10-14 yrs","2011","2011","2","Malignant Neoplasms","419"
"United States","Both Sexes","All Races,","10-14 yrs","2011","2011","3","Suicide","282"
"United States","Both Sexes","All Races,","10-14 yrs","2011","2011","4","Congenital Anomalies","176"
"United States","Both Sexes","All Races,","10-14 yrs","2011","2011","5","Homicide","154"
"United States","Both Sexes","All Races,","10-14 yrs","2011","2011","6","Heart Disease","111"
"United States","Both Sexes","All Races,","10-14 yrs","2011","2011","7","Chronic Low. Respiratory Disease","72"
"United States","Both Sexes","All Races,","10-14 yrs","2011","2011","8","Influenza & Pneumonia","55"
"United States","Both Sexes","All Races,","10-14 yrs","2011","2011","9","Cerebrovascular","47"
"United States","Both Sexes","All Races,","10-14 yrs","2011","2011","10","Septicemia","31"
"United States","Both Sexes","All Races,","10-14 yrs","2011","2011","11","Benign Neoplasms","30"
"United States","Both Sexes","All Races,","10-14 yrs","2011","2011","12","Diabetes Mellitus","25"
"United States","Both Sexes","All Races,","10-14 yrs","2011","2011","13","Anemias","15"
"United States","Both Sexes","All Races,","10-14 yrs","2011","2011","14","Pneumonitis","12"
"United States","Both Sexes","All Races,","10-14 yrs","2011","2011","15","Perinatal Period","11"
"United States","Both Sexes","All Races,","15-24 yrs","2011","2011","1","Unintentional Injury","12330"
"United States","Both Sexes","All Races,","15-24 yrs","2011","2011","2","Suicide","4822"
"United States","Both Sexes","All Races,","15-24 yrs","2011","2011","3","Homicide","4554"
"United States","Both Sexes","All Races,","15-24 yrs","2011","2011","4","Malignant Neoplasms","1611"
"United States","Both Sexes","All Races,","15-24 yrs","2011","2011","5","Heart Disease","998"
"United States","Both Sexes","All Races,","15-24 yrs","2011","2011","6","Congenital Anomalies","432"
"United States","Both Sexes","All Races,","15-24 yrs","2011","2011","7","Influenza & Pneumonia","220"
"United States","Both Sexes","All Races,","15-24 yrs","2011","2011","8","Cerebrovascular","186"
"United States","Both Sexes","All Races,","15-24 yrs","2011","2011","9","Complicated Pregnancy","172"
"United States","Both Sexes","All Races,","15-24 yrs","2011","2011","10","Chronic Low. Respiratory Disease","170"
"United States","Both Sexes","All Races,","15-24 yrs","2011","2011","11","Diabetes Mellitus","167"
"United States","Both Sexes","All Races,","15-24 yrs","2011","2011","12","HIV","134"
"United States","Both Sexes","All Races,","15-24 yrs","2011","2011","12","Septicemia","134"
"United States","Both Sexes","All Races,","15-24 yrs","2011","2011","13","Benign Neoplasms","99"
"United States","Both Sexes","All Races,","15-24 yrs","2011","2011","14","Anemias","97"
"United States","Both Sexes","All Races,","25-34 yrs","2011","2011","1","Unintentional Injury","15518"
"United States","Both Sexes","All Races,","25-34 yrs","2011","2011","2","Suicide","6100"
"United States","Both Sexes","All Races,","25-34 yrs","2011","2011","3","Homicide","4185"
"United States","Both Sexes","All Races,","25-34 yrs","2011","2011","4","Malignant Neoplasms","3499"
"United States","Both Sexes","All Races,","25-34 yrs","2011","2011","5","Heart Disease","3301"
"United States","Both Sexes","All Races,","25-34 yrs","2011","2011","6","Diabetes Mellitus","686"
"United States","Both Sexes","All Races,","25-34 yrs","2011","2011","7","HIV","666"
"United States","Both Sexes","All Races,","25-34 yrs","2011","2011","8","Cerebrovascular","530"
"United States","Both Sexes","All Races,","25-34 yrs","2011","2011","9","Influenza & Pneumonia","515"
"United States","Both Sexes","All Races,","25-34 yrs","2011","2011","10","Liver Disease","505"
"United States","Both Sexes","All Races,","25-34 yrs","2011","2011","11","Congenital Anomalies","410"
"United States","Both Sexes","All Races,","25-34 yrs","2011","2011","12","Complicated Pregnancy","386"
"United States","Both Sexes","All Races,","25-34 yrs","2011","2011","13","Septicemia","351"
"United States","Both Sexes","All Races,","25-34 yrs","2011","2011","14","Chronic Low. Respiratory Disease","268"
"United States","Both Sexes","All Races,","25-34 yrs","2011","2011","15","Nephritis","212"
"United States","Both Sexes","All Races,","35-44 yrs","2011","2011","1","Unintentional Injury","15230"
"United States","Both Sexes","All Races,","35-44 yrs","2011","2011","2","Malignant Neoplasms","11717"
"United States","Both Sexes","All Races,","35-44 yrs","2011","2011","3","Heart Disease","10635"
"United States","Both Sexes","All Races,","35-44 yrs","2011","2011","4","Suicide","6599"
"United States","Both Sexes","All Races,","35-44 yrs","2011","2011","5","Homicide","2519"
"United States","Both Sexes","All Races,","35-44 yrs","2011","2011","6","Liver Disease","2449"
"United States","Both Sexes","All Races,","35-44 yrs","2011","2011","7","Diabetes Mellitus","1842"
"United States","Both Sexes","All Races,","35-44 yrs","2011","2011","8","Cerebrovascular","1718"
"United States","Both Sexes","All Races,","35-44 yrs","2011","2011","9","HIV","1619"
"United States","Both Sexes","All Races,","35-44 yrs","2011","2011","10","Influenza & Pneumonia","859"
"United States","Both Sexes","All Races,","35-44 yrs","2011","2011","11","Septicemia","794"
"United States","Both Sexes","All Races,","35-44 yrs","2011","2011","12","Chronic Low. Respiratory Disease","734"
"United States","Both Sexes","All Races,","35-44 yrs","2011","2011","13","Nephritis","668"
"United States","Both Sexes","All Races,","35-44 yrs","2011","2011","14","Congenital Anomalies","419"
"United States","Both Sexes","All Races,","35-44 yrs","2011","2011","15","Hypertension","411"
"United States","Both Sexes","All Races,","45-54 yrs","2011","2011","1","Malignant Neoplasms","48897"
"United States","Both Sexes","All Races,","45-54 yrs","2011","2011","2","Heart Disease","36100"
"United States","Both Sexes","All Races,","45-54 yrs","2011","2011","3","Unintentional Injury","20749"
"United States","Both Sexes","All Races,","45-54 yrs","2011","2011","4","Liver Disease","8864"
"United States","Both Sexes","All Races,","45-54 yrs","2011","2011","5","Suicide","8858"
"United States","Both Sexes","All Races,","45-54 yrs","2011","2011","6","Diabetes Mellitus","6012"
"United States","Both Sexes","All Races,","45-54 yrs","2011","2011","7","Cerebrovascular","5705"
"United States","Both Sexes","All Races,","45-54 yrs","2011","2011","8","Chronic Low. Respiratory Disease","4634"
"United States","Both Sexes","All Races,","45-54 yrs","2011","2011","9","HIV","2781"
"United States","Both Sexes","All Races,","45-54 yrs","2011","2011","10","Septicemia","2461"
"United States","Both Sexes","All Races,","45-54 yrs","2011","2011","11","Viral Hepatitis","2317"
"United States","Both Sexes","All Races,","45-54 yrs","2011","2011","12","Influenza & Pneumonia","2224"
"United States","Both Sexes","All Races,","45-54 yrs","2011","2011","13","Homicide","2052"
"United States","Both Sexes","All Races,","45-54 yrs","2011","2011","14","Nephritis","1984"
"United States","Both Sexes","All Races,","45-54 yrs","2011","2011","15","Hypertension","1375"
"United States","Both Sexes","All Races,","55-64 yrs","2011","2011","1","Malignant Neoplasms","112572"
"United States","Both Sexes","All Races,","55-64 yrs","2011","2011","2","Heart Disease","69742"
"United States","Both Sexes","All Races,","55-64 yrs","2011","2011","3","Unintentional Injury","15158"
"United States","Both Sexes","All Races,","55-64 yrs","2011","2011","4","Chronic Low. Respiratory Disease","15044"
"United States","Both Sexes","All Races,","55-64 yrs","2011","2011","5","Diabetes Mellitus","12688"
"United States","Both Sexes","All Races,","55-64 yrs","2011","2011","6","Cerebrovascular","11205"
"United States","Both Sexes","All Races,","55-64 yrs","2011","2011","7","Liver Disease","10749"
"United States","Both Sexes","All Races,","55-64 yrs","2011","2011","8","Suicide","6521"
"United States","Both Sexes","All Races,","55-64 yrs","2011","2011","9","Septicemia","4953"
"United States","Both Sexes","All Races,","55-64 yrs","2011","2011","10","Nephritis","4754"
"United States","Both Sexes","All Races,","55-64 yrs","2011","2011","11","Influenza & Pneumonia","4185"
"United States","Both Sexes","All Races,","55-64 yrs","2011","2011","12","Viral Hepatitis","3515"
"United States","Both Sexes","All Races,","55-64 yrs","2011","2011","13","Hypertension","2679"
"United States","Both Sexes","All Races,","55-64 yrs","2011","2011","14","HIV","1796"
"United States","Both Sexes","All Races,","55-64 yrs","2011","2011","15","Benign Neoplasms","1485"
"United States","Both Sexes","All Races,","65+ yrs","2011","2011","1","Heart Disease","475097"
"United States","Both Sexes","All Races,","65+ yrs","2011","2011","2","Malignant Neoplasms","397106"
"United States","Both Sexes","All Races,","65+ yrs","2011","2011","3","Chronic Low. Respiratory Disease","121869"
"United States","Both Sexes","All Races,","65+ yrs","2011","2011","4","Cerebrovascular","109323"
"United States","Both Sexes","All Races,","65+ yrs","2011","2011","5","Alzheimer's Disease","84032"
"United States","Both Sexes","All Races,","65+ yrs","2011","2011","6","Diabetes Mellitus","52402"
"United States","Both Sexes","All Races,","65+ yrs","2011","2011","7","Influenza & Pneumonia","45386"
"United States","Both Sexes","All Races,","65+ yrs","2011","2011","8","Unintentional Injury","43258"
"United States","Both Sexes","All Races,","65+ yrs","2011","2011","9","Nephritis","37796"
"United States","Both Sexes","All Races,","65+ yrs","2011","2011","10","Septicemia","26746"
"United States","Both Sexes","All Races,","65+ yrs","2011","2011","11","Hypertension","23280"
"United States","Both Sexes","All Races,","65+ yrs","2011","2011","12","Parkinson's Disease","22535"
"United States","Both Sexes","All Races,","65+ yrs","2011","2011","13","Pneumonitis","16218"
"United States","Both Sexes","All Races,","65+ yrs","2011","2011","14","Benign Neoplasms","12166"
"United States","Both Sexes","All Races,","65+ yrs","2011","2011","15","Liver Disease","11030"
"United States","Both Sexes","All Races,","All Ages","2011","2011","1","Heart Disease","596577"
"United States","Both Sexes","All Races,","All Ages","2011","2011","2","Malignant Neoplasms","576691"
"United States","Both Sexes","All Races,","All Ages","2011","2011","3","Chronic Low. Respiratory Disease","142943"
"United States","Both Sexes","All Races,","All Ages","2011","2011","4","Cerebrovascular","128932"
"United States","Both Sexes","All Races,","All Ages","2011","2011","5","Unintentional Injury","126438"
"United States","Both Sexes","All Races,","All Ages","2011","2011","6","Alzheimer's Disease","84974"
"United States","Both Sexes","All Races,","All Ages","2011","2011","7","Diabetes Mellitus","73831"
"United States","Both Sexes","All Races,","All Ages","2011","2011","8","Influenza & Pneumonia","53826"
"United States","Both Sexes","All Races,","All Ages","2011","2011","9","Nephritis","45591"
"United States","Both Sexes","All Races,","All Ages","2011","2011","10","Suicide","39518"
"United States","Both Sexes","All Races,","All Ages","2011","2011","11","Septicemia","35748"
"United States","Both Sexes","All Races,","All Ages","2011","2011","12","Liver Disease","33642"
"United States","Both Sexes","All Races,","All Ages","2011","2011","13","Hypertension","27853"
"United States","Both Sexes","All Races,","All Ages","2011","2011","14","Parkinson's Disease","23111"
"United States","Both Sexes","All Races,","All Ages","2011","2011","15","Pneumonitis","18195"
