"Notes"	"Year"	"Year Code"	"Month"	"Month Code"	"Injury Intent"	"Injury Intent Code"	Deaths	Perc Total Deaths
	"2007"	"2007"	"Feb., 2007"	"2007/02"	"Suicide"	"2"	2473	0.42%
	"2007"	"2007"	"Mar., 2007"	"2007/03"	"Suicide"	"2"	2954	0.50%
	"2007"	"2007"	"Apr., 2007"	"2007/04"	"Suicide"	"2"	2792	0.47%
	"2007"	"2007"	"May, 2007"	"2007/05"	"Suicide"	"2"	3089	0.52%
	"2007"	"2007"	"Jun., 2007"	"2007/06"	"Suicide"	"2"	2915	0.49%
	"2007"	"2007"	"Jul., 2007"	"2007/07"	"Suicide"	"2"	3088	0.52%
	"2007"	"2007"	"Aug., 2007"	"2007/08"	"Suicide"	"2"	2998	0.51%
	"2007"	"2007"	"Sep., 2007"	"2007/09"	"Suicide"	"2"	2951	0.50%
	"2007"	"2007"	"Oct., 2007"	"2007/10"	"Suicide"	"2"	2991	0.51%
	"2007"	"2007"	"Nov., 2007"	"2007/11"	"Suicide"	"2"	2794	0.47%
	"2007"	"2007"	"Dec., 2007"	"2007/12"	"Suicide"	"2"	2712	0.46%
	"2008"	"2008"	"Jan., 2008"	"2008/01"	"Suicide"	"2"	3036	0.51%
	"2008"	"2008"	"Feb., 2008"	"2008/02"	"Suicide"	"2"	2785	0.47%
	"2008"	"2008"	"Mar., 2008"	"2008/03"	"Suicide"	"2"	3044	0.51%
	"2008"	"2008"	"Apr., 2008"	"2008/04"	"Suicide"	"2"	3058	0.52%
	"2008"	"2008"	"May, 2008"	"2008/05"	"Suicide"	"2"	3166	0.54%
	"2008"	"2008"	"Jun., 2008"	"2008/06"	"Suicide"	"2"	3096	0.52%
	"2008"	"2008"	"Jul., 2008"	"2008/07"	"Suicide"	"2"	3128	0.53%
	"2008"	"2008"	"Aug., 2008"	"2008/08"	"Suicide"	"2"	3024	0.51%
	"2008"	"2008"	"Sep., 2008"	"2008/09"	"Suicide"	"2"	3115	0.53%
	"2008"	"2008"	"Oct., 2008"	"2008/10"	"Suicide"	"2"	3011	0.51%
	"2008"	"2008"	"Nov., 2008"	"2008/11"	"Suicide"	"2"	2812	0.48%
	"2008"	"2008"	"Dec., 2008"	"2008/12"	"Suicide"	"2"	2760	0.47%
	"2009"	"2009"	"Jan., 2009"	"2009/01"	"Suicide"	"2"	2976	0.50%
	"2009"	"2009"	"Feb., 2009"	"2009/02"	"Suicide"	"2"	2720	0.46%
	"2009"	"2009"	"Mar., 2009"	"2009/03"	"Suicide"	"2"	3044	0.51%
	"2009"	"2009"	"Apr., 2009"	"2009/04"	"Suicide"	"2"	3027	0.51%
	"2009"	"2009"	"May, 2009"	"2009/05"	"Suicide"	"2"	3266	0.55%
	"2009"	"2009"	"Jun., 2009"	"2009/06"	"Suicide"	"2"	3254	0.55%
	"2009"	"2009"	"Jul., 2009"	"2009/07"	"Suicide"	"2"	3246	0.55%
	"2009"	"2009"	"Aug., 2009"	"2009/08"	"Suicide"	"2"	3305	0.56%
	"2009"	"2009"	"Sep., 2009"	"2009/09"	"Suicide"	"2"	3265	0.55%
	"2009"	"2009"	"Oct., 2009"	"2009/10"	"Suicide"	"2"	3126	0.53%
	"2009"	"2009"	"Nov., 2009"	"2009/11"	"Suicide"	"2"	2833	0.48%
	"2009"	"2009"	"Dec., 2009"	"2009/12"	"Suicide"	"2"	2847	0.48%
	"2010"	"2010"	"Jan., 2010"	"2010/01"	"Suicide"	"2"	3066	0.52%
	"2010"	"2010"	"Feb., 2010"	"2010/02"	"Suicide"	"2"	2785	0.47%
	"2010"	"2010"	"Mar., 2010"	"2010/03"	"Suicide"	"2"	3251	0.55%
	"2010"	"2010"	"Apr., 2010"	"2010/04"	"Suicide"	"2"	3238	0.55%
	"2010"	"2010"	"May, 2010"	"2010/05"	"Suicide"	"2"	3419	0.58%
	"2010"	"2010"	"Jun., 2010"	"2010/06"	"Suicide"	"2"	3286	0.56%
	"2010"	"2010"	"Jul., 2010"	"2010/07"	"Suicide"	"2"	3450	0.58%
	"2010"	"2010"	"Aug., 2010"	"2010/08"	"Suicide"	"2"	3447	0.58%
	"2010"	"2010"	"Sep., 2010"	"2010/09"	"Suicide"	"2"	3153	0.53%
	"2010"	"2010"	"Oct., 2010"	"2010/10"	"Suicide"	"2"	3233	0.55%
	"2010"	"2010"	"Nov., 2010"	"2010/11"	"Suicide"	"2"	2992	0.51%
	"2010"	"2010"	"Dec., 2010"	"2010/12"	"Suicide"	"2"	3044	0.51%
	"2011"	"2011"	"Jan., 2011"	"2011/01"	"Suicide"	"2"	3155	0.53%
	"2011"	"2011"	"Feb., 2011"	"2011/02"	"Suicide"	"2"	2778	0.47%
	"2011"	"2011"	"Mar., 2011"	"2011/03"	"Suicide"	"2"	3392	0.57%
	"2011"	"2011"	"Apr., 2011"	"2011/04"	"Suicide"	"2"	3446	0.58%
	"2011"	"2011"	"May, 2011"	"2011/05"	"Suicide"	"2"	3466	0.59%
	"2011"	"2011"	"Jun., 2011"	"2011/06"	"Suicide"	"2"	3355	0.57%
	"2011"	"2011"	"Jul., 2011"	"2011/07"	"Suicide"	"2"	3573	0.60%
	"2011"	"2011"	"Aug., 2011"	"2011/08"	"Suicide"	"2"	3498	0.59%
	"2011"	"2011"	"Sep., 2011"	"2011/09"	"Suicide"	"2"	3332	0.56%
	"2011"	"2011"	"Oct., 2011"	"2011/10"	"Suicide"	"2"	3306	0.56%
	"2011"	"2011"	"Nov., 2011"	"2011/11"	"Suicide"	"2"	3136	0.53%
	"2011"	"2011"	"Dec., 2011"	"2011/12"	"Suicide"	"2"	3081	0.52%
	"2012"	"2012"	"Jan., 2012"	"2012/01"	"Suicide"	"2"	3308	0.56%
	"2012"	"2012"	"Feb., 2012"	"2012/02"	"Suicide"	"2"	3094	0.52%
	"2012"	"2012"	"Mar., 2012"	"2012/03"	"Suicide"	"2"	3397	0.57%
	"2012"	"2012"	"Apr., 2012"	"2012/04"	"Suicide"	"2"	3424	0.58%
	"2012"	"2012"	"May, 2012"	"2012/05"	"Suicide"	"2"	3704	0.63%
	"2012"	"2012"	"Jun., 2012"	"2012/06"	"Suicide"	"2"	3468	0.59%
	"2012"	"2012"	"Jul., 2012"	"2012/07"	"Suicide"	"2"	3636	0.61%
	"2012"	"2012"	"Aug., 2012"	"2012/08"	"Suicide"	"2"	3544	0.60%
	"2012"	"2012"	"Sep., 2012"	"2012/09"	"Suicide"	"2"	3387	0.57%
	"2012"	"2012"	"Oct., 2012"	"2012/10"	"Suicide"	"2"	3330	0.56%
	"2012"	"2012"	"Nov., 2012"	"2012/11"	"Suicide"	"2"	3137	0.53%
	"2012"	"2012"	"Dec., 2012"	"2012/12"	"Suicide"	"2"	3171	0.54%
	"2013"	"2013"	"Jan., 2013"	"2013/01"	"Suicide"	"2"	3529	0.60%
	"2013"	"2013"	"Feb., 2013"	"2013/02"	"Suicide"	"2"	3016	0.51%
	"2013"	"2013"	"Mar., 2013"	"2013/03"	"Suicide"	"2"	3576	0.60%
	"2013"	"2013"	"Apr., 2013"	"2013/04"	"Suicide"	"2"	3526	0.60%
	"2013"	"2013"	"May, 2013"	"2013/05"	"Suicide"	"2"	3538	0.60%
	"2013"	"2013"	"Jun., 2013"	"2013/06"	"Suicide"	"2"	3479	0.59%
	"2013"	"2013"	"Jul., 2013"	"2013/07"	"Suicide"	"2"	3640	0.62%
	"2013"	"2013"	"Aug., 2013"	"2013/08"	"Suicide"	"2"	3580	0.61%
	"2013"	"2013"	"Sep., 2013"	"2013/09"	"Suicide"	"2"	3450	0.58%
	"2013"	"2013"	"Oct., 2013"	"2013/10"	"Suicide"	"2"	3467	0.59%
	"2013"	"2013"	"Nov., 2013"	"2013/11"	"Suicide"	"2"	3172	0.54%
	"2013"	"2013"	"Dec., 2013"	"2013/12"	"Suicide"	"2"	3176	0.54%
	"2014"	"2014"	"Jan., 2014"	"2014/01"	"Suicide"	"2"	3320	0.56%
	"2014"	"2014"	"Feb., 2014"	"2014/02"	"Suicide"	"2"	3091	0.52%
	"2014"	"2014"	"Mar., 2014"	"2014/03"	"Suicide"	"2"	3408	0.58%
	"2014"	"2014"	"Apr., 2014"	"2014/04"	"Suicide"	"2"	3606	0.61%
	"2014"	"2014"	"May, 2014"	"2014/05"	"Suicide"	"2"	3589	0.61%
	"2014"	"2014"	"Jun., 2014"	"2014/06"	"Suicide"	"2"	3552	0.60%
	"2014"	"2014"	"Jul., 2014"	"2014/07"	"Suicide"	"2"	3534	0.60%
	"2014"	"2014"	"Aug., 2014"	"2014/08"	"Suicide"	"2"	4027	0.68%
	"2014"	"2014"	"Sep., 2014"	"2014/09"	"Suicide"	"2"	4034	0.68%
	"2014"	"2014"	"Oct., 2014"	"2014/10"	"Suicide"	"2"	3791	0.64%
	"2014"	"2014"	"Nov., 2014"	"2014/11"	"Suicide"	"2"	3480	0.59%
	"2014"	"2014"	"Dec., 2014"	"2014/12"	"Suicide"	"2"	3394	0.57%
	"2015"	"2015"	"Jan., 2015"	"2015/01"	"Suicide"	"2"	3618	0.61%
	"2015"	"2015"	"Feb., 2015"	"2015/02"	"Suicide"	"2"	3215	0.54%
	"2015"	"2015"	"Mar., 2015"	"2015/03"	"Suicide"	"2"	3935	0.67%
	"2015"	"2015"	"Apr., 2015"	"2015/04"	"Suicide"	"2"	3726	0.63%
	"2015"	"2015"	"May, 2015"	"2015/05"	"Suicide"	"2"	3966	0.67%
	"2015"	"2015"	"Jun., 2015"	"2015/06"	"Suicide"	"2"	3785	0.64%
	"2015"	"2015"	"Jul., 2015"	"2015/07"	"Suicide"	"2"	3944	0.67%
	"2015"	"2015"	"Aug., 2015"	"2015/08"	"Suicide"	"2"	3912	0.66%
	"2015"	"2015"	"Sep., 2015"	"2015/09"	"Suicide"	"2"	3578	0.61%
	"2015"	"2015"	"Oct., 2015"	"2015/10"	"Suicide"	"2"	3688	0.62%
	"2015"	"2015"	"Nov., 2015"	"2015/11"	"Suicide"	"2"	3357	0.57%
	"2015"	"2015"	"Dec., 2015"	"2015/12"	"Suicide"	"2"	3469	0.59%
	"2016"	"2016"	"Jan., 2016"	"2016/01"	"Suicide"	"2"	3720	0.63%
	"2016"	"2016"	"Feb., 2016"	"2016/02"	"Suicide"	"2"	3445	0.58%
	"2016"	"2016"	"Mar., 2016"	"2016/03"	"Suicide"	"2"	3921	0.66%
	"2016"	"2016"	"Apr., 2016"	"2016/04"	"Suicide"	"2"	3812	0.64%
	"2016"	"2016"	"May, 2016"	"2016/05"	"Suicide"	"2"	3853	0.65%
	"2016"	"2016"	"Jun., 2016"	"2016/06"	"Suicide"	"2"	3726	0.63%
	"2016"	"2016"	"Jul., 2016"	"2016/07"	"Suicide"	"2"	4033	0.68%
	"2016"	"2016"	"Aug., 2016"	"2016/08"	"Suicide"	"2"	4042	0.68%
	"2016"	"2016"	"Sep., 2016"	"2016/09"	"Suicide"	"2"	3720	0.63%
	"2016"	"2016"	"Oct., 2016"	"2016/10"	"Suicide"	"2"	3838	0.65%
	"2016"	"2016"	"Nov., 2016"	"2016/11"	"Suicide"	"2"	3458	0.58%
	"2016"	"2016"	"Dec., 2016"	"2016/12"	"Suicide"	"2"	3397	0.57%
