"Notes"	"Year"	"Year Code"	"Month"	"Month Code"	"Injury Intent"	"Injury Intent Code"	Deaths	Population	Crude Rate	% of Total Deaths
	"2001"	"2001"	"Feb., 2001"	"2001/02"	"Non-Injury, no intent classified"	"9"	187554	Not Applicable	Not Applicable	0.42%
"Total"	"2001"	"2001"	"Feb., 2001"	"2001/02"			198684	Not Applicable	Not Applicable	0.44%
	"2001"	"2001"	"Mar., 2001"	"2001/03"	"Unintentional"	"1"	7935	Not Applicable	Not Applicable	0.02%
	"2001"	"2001"	"Mar., 2001"	"2001/03"	"Suicide"	"2"	2546	Not Applicable	Not Applicable	0.01%
	"2001"	"2001"	"Mar., 2001"	"2001/03"	"Homicide"	"3"	1266	Not Applicable	Not Applicable	0.00%
	"2001"	"2001"	"Mar., 2001"	"2001/03"	"Undetermined "	"4"	354	Not Applicable	Not Applicable	0.00%
	"2001"	"2001"	"Mar., 2001"	"2001/03"	"Legal Intervention / Operations of War"	"5"	37	Not Applicable	Not Applicable	0.00%
	"2001"	"2001"	"Mar., 2001"	"2001/03"	"Non-Injury, no intent classified"	"9"	203386	Not Applicable	Not Applicable	0.45%
"Total"	"2001"	"2001"	"Mar., 2001"	"2001/03"			215524	Not Applicable	Not Applicable	0.48%
	"2001"	"2001"	"Apr., 2001"	"2001/04"	"Unintentional"	"1"	8161	Not Applicable	Not Applicable	0.02%
	"2001"	"2001"	"Apr., 2001"	"2001/04"	"Suicide"	"2"	2599	Not Applicable	Not Applicable	0.01%
	"2001"	"2001"	"Apr., 2001"	"2001/04"	"Homicide"	"3"	1404	Not Applicable	Not Applicable	0.00%
	"2001"	"2001"	"Apr., 2001"	"2001/04"	"Undetermined "	"4"	371	Not Applicable	Not Applicable	0.00%
	"2001"	"2001"	"Apr., 2001"	"2001/04"	"Legal Intervention / Operations of War"	"5"	34	Not Applicable	Not Applicable	0.00%
	"2001"	"2001"	"Apr., 2001"	"2001/04"	"Non-Injury, no intent classified"	"9"	190154	Not Applicable	Not Applicable	0.42%
"Total"	"2001"	"2001"	"Apr., 2001"	"2001/04"			202723	Not Applicable	Not Applicable	0.45%
	"2001"	"2001"	"May, 2001"	"2001/05"	"Unintentional"	"1"	8574	Not Applicable	Not Applicable	0.02%
	"2001"	"2001"	"May, 2001"	"2001/05"	"Suicide"	"2"	2747	Not Applicable	Not Applicable	0.01%
	"2001"	"2001"	"May, 2001"	"2001/05"	"Homicide"	"3"	1416	Not Applicable	Not Applicable	0.00%
	"2001"	"2001"	"May, 2001"	"2001/05"	"Undetermined "	"4"	365	Not Applicable	Not Applicable	0.00%
	"2001"	"2001"	"May, 2001"	"2001/05"	"Legal Intervention / Operations of War"	"5"	35	Not Applicable	Not Applicable	0.00%
	"2001"	"2001"	"May, 2001"	"2001/05"	"Non-Injury, no intent classified"	"9"	187497	Not Applicable	Not Applicable	0.42%
"Total"	"2001"	"2001"	"May, 2001"	"2001/05"			200634	Not Applicable	Not Applicable	0.45%
	"2001"	"2001"	"Jun., 2001"	"2001/06"	"Unintentional"	"1"	8605	Not Applicable	Not Applicable	0.02%
	"2001"	"2001"	"Jun., 2001"	"2001/06"	"Suicide"	"2"	2560	Not Applicable	Not Applicable	0.01%
	"2001"	"2001"	"Jun., 2001"	"2001/06"	"Homicide"	"3"	1464	Not Applicable	Not Applicable	0.00%
	"2001"	"2001"	"Jun., 2001"	"2001/06"	"Undetermined "	"4"	366	Not Applicable	Not Applicable	0.00%
	"2001"	"2001"	"Jun., 2001"	"2001/06"	"Legal Intervention / Operations of War"	"5"	38	Not Applicable	Not Applicable	0.00%
	"2001"	"2001"	"Jun., 2001"	"2001/06"	"Non-Injury, no intent classified"	"9"	178186	Not Applicable	Not Applicable	0.40%
"Total"	"2001"	"2001"	"Jun., 2001"	"2001/06"			191219	Not Applicable	Not Applicable	0.43%
	"2001"	"2001"	"Jul., 2001"	"2001/07"	"Unintentional"	"1"	9354	Not Applicable	Not Applicable	0.02%
	"2001"	"2001"	"Jul., 2001"	"2001/07"	"Suicide"	"2"	2746	Not Applicable	Not Applicable	0.01%
	"2001"	"2001"	"Jul., 2001"	"2001/07"	"Homicide"	"3"	1650	Not Applicable	Not Applicable	0.00%
	"2001"	"2001"	"Jul., 2001"	"2001/07"	"Undetermined "	"4"	386	Not Applicable	Not Applicable	0.00%
	"2001"	"2001"	"Jul., 2001"	"2001/07"	"Legal Intervention / Operations of War"	"5"	45	Not Applicable	Not Applicable	0.00%
	"2001"	"2001"	"Jul., 2001"	"2001/07"	"Non-Injury, no intent classified"	"9"	177082	Not Applicable	Not Applicable	0.39%
"Total"	"2001"	"2001"	"Jul., 2001"	"2001/07"			191263	Not Applicable	Not Applicable	0.43%
	"2001"	"2001"	"Aug., 2001"	"2001/08"	"Unintentional"	"1"	9230	Not Applicable	Not Applicable	0.02%
	"2001"	"2001"	"Aug., 2001"	"2001/08"	"Suicide"	"2"	2674	Not Applicable	Not Applicable	0.01%
	"2001"	"2001"	"Aug., 2001"	"2001/08"	"Homicide"	"3"	1509	Not Applicable	Not Applicable	0.00%
	"2001"	"2001"	"Aug., 2001"	"2001/08"	"Undetermined "	"4"	374	Not Applicable	Not Applicable	0.00%
